,date,y_minmax_0940
853,20220330,135
854,20220331,275
855,20220401,304
856,20220404,240
857,20220405,308
858,20220406,140
859,20220407,164
860,20220408,111
861,20220411,346
862,20220412,169
863,20220413,140
864,20220414,207
865,20220415,259
866,20220418,255
867,20220419,298
868,20220420,265
869,20220421,178
870,20220422,192
871,20220425,139
872,20220426,111
873,20220427,212
874,20220428,269
875,20220429,512
876,20220502,229
877,20220503,196
878,20220504,122
879,20220506,195
880,20220509,219
881,20220510,450
882,20220511,234
883,20220512,210
884,20220513,298
885,20220516,293
886,20220517,254
887,20220518,186
888,20220519,230
889,20220520,254
890,20220523,239
891,20220524,170
892,20220525,263
893,20220526,337
894,20220527,175
895,20220530,230
896,20220531,269
897,20220602,201
898,20220603,146
899,20220607,244
900,20220608,113
901,20220609,161
902,20220610,245
903,20220613,313
904,20220614,488
905,20220615,293
906,20220616,225
907,20220617,307
908,20220620,791
909,20220621,1026
910,20220622,376
911,20220623,473
912,20220624,293
913,20220627,337
914,20220628,205
915,20220629,152
916,20220630,239
917,20220701,235
918,20220704,410
919,20220705,332
920,20220706,225
921,20220707,303
922,20220708,161
923,20220711,244
924,20220712,254
925,20220713,210
926,20220714,181
927,20220715,513
928,20220718,225
929,20220719,205
930,20220720,151
931,20220721,151
932,20220722,269
933,20220725,381
934,20220726,161
935,20220727,142
936,20220728,250
937,20220729,229
938,20220801,230
939,20220802,137
940,20220803,151
941,20220804,147
942,20220805,132
943,20220808,108
944,20220809,171
945,20220810,181
946,20220811,137
947,20220812,206
948,20220816,186
949,20220817,123
950,20220818,205
951,20220819,245
952,20220822,142
953,20220823,147
954,20220824,117
955,20220825,93
956,20220826,113
957,20220829,167
958,20220830,132
959,20220831,123
960,20220901,230
961,20220902,152
962,20220905,265
963,20220906,230
964,20220907,289
965,20220908,171
966,20220913,249
967,20220914,127
968,20220915,151
969,20220916,191
970,20220919,225
971,20220920,147
972,20220921,132
973,20220922,83
974,20220923,200
975,20220926,166
976,20220927,230
977,20220928,205
978,20220929,172
979,20220930,289
980,20221004,299
981,20221005,372
982,20221006,298
983,20221007,215
984,20221011,269
985,20221012,172
986,20221013,107
987,20221014,147
988,20221017,211
989,20221018,210
990,20221019,191
991,20221020,191
992,20221021,176
993,20221024,123
994,20221025,294
995,20221026,171
996,20221027,245
997,20221028,133
998,20221031,191
999,20221101,236
1000,20221102,162
1001,20221103,172
1002,20221104,191
1003,20221107,309
1004,20221108,137
1005,20221109,187
1006,20221110,240
1007,20221111,206
1008,20221114,132
1009,20221115,162
1010,20221116,433
1011,20221118,295
1012,20221121,319
1013,20221122,226
1014,20221123,104
1015,20221124,103
1016,20221125,152
1017,20221128,270
1018,20221129,142
1019,20221130,231
1020,20221201,177
1021,20221202,285
1022,20221205,280
1023,20221206,275
1024,20221207,162
1025,20221208,113
1026,20221209,143
1027,20221212,152
1028,20221213,192
1029,20221214,225
1030,20221215,98
1031,20221216,201
1032,20221219,157
1033,20221220,202
1034,20221221,270
1035,20221222,103
1036,20221223,153
1037,20221226,138
1038,20221227,171
1039,20221228,211
1040,20221229,108
1041,20230103,369
1042,20230104,432
1043,20230105,231
1044,20230106,334
1045,20230109,329
1046,20230110,143
1047,20230111,221
1048,20230112,255
1049,20230113,251
1050,20230116,221
1051,20230117,221
1052,20230118,280
1053,20230119,197
1054,20230120,221
1055,20230125,167
1056,20230126,118
1057,20230127,280
1058,20230130,261
1059,20230131,270
1060,20230201,157
1061,20230202,207
1062,20230203,237
1063,20230206,261
1064,20230207,211
1065,20230208,162
1066,20230209,133
1067,20230210,236
1068,20230213,202
1069,20230214,202
1070,20230215,360
1071,20230216,216
1072,20230217,398
1073,20230220,315
1074,20230221,285
1075,20230222,217
1076,20230223,192
1077,20230224,192
1078,20230227,212
1079,20230228,157
1080,20230302,355
1081,20230303,183
1082,20230306,162
1083,20230307,98
1084,20230308,123
1085,20230309,119
1086,20230310,133
1087,20230313,300
1088,20230314,241
1089,20230315,157
1090,20230316,226
1091,20230317,247
1092,20230320,241
1093,20230321,143
1094,20230322,108
1095,20230323,118
1096,20230324,118
1097,20230327,359
1098,20230328,148
1099,20230329,133
1100,20230330,147
1101,20230331,182
1102,20230403,231
1103,20230404,251
1104,20230405,231
1105,20230406,212
1106,20230407,231
1107,20230410,334
1108,20230411,138
1109,20230412,216
1110,20230413,192
1111,20230414,271
1112,20230417,128
1113,20230418,206
1114,20230419,173
1115,20230420,217
1116,20230421,246
1117,20230424,98
1118,20230425,118
1119,20230426,143
1120,20230427,315
1121,20230428,160
1122,20230502,265
1123,20230503,140
1124,20230504,139
1125,20230508,120
1126,20230509,155
1127,20230510,140
1128,20230511,120
1129,20230512,130
1130,20230515,135
1131,20230516,120
1132,20230517,134
1133,20230518,140
1134,20230519,130
1135,20230522,359
1136,20230523,140
1137,20230524,160
1138,20230525,175
1139,20230526,125
1140,20230530,120
1141,20230531,130
1142,20230601,149
1143,20230602,90
1144,20230605,105
1145,20230607,140
1146,20230608,100
1147,20230609,174
1148,20230612,165
1149,20230613,125
1150,20230614,195
1151,20230615,120
1152,20230616,189
1153,20230619,194
1154,20230620,160
1155,20230621,125
1156,20230622,219
1157,20230623,210
1158,20230626,179
1159,20230627,159
1160,20230628,230
1161,20230629,175
1162,20230630,310
1163,20230703,285
1164,20230704,139
1165,20230705,259
1166,20230706,234
1167,20230707,264
1168,20230710,235
1169,20230711,214
1170,20230712,120
1171,20230713,95
1172,20230714,175
1173,20230717,175
1174,20230718,245
1175,20230719,200
1176,20230720,170
1177,20230721,224
1178,20230724,369
1179,20230725,225
1180,20230726,339
1181,20230727,144
1182,20230728,175
1183,20230731,160
1184,20230801,290
1185,20230802,135
1186,20230803,265
1187,20230804,170
1188,20230807,280
1189,20230808,220
1190,20230809,305
1191,20230810,95
1192,20230811,210
1193,20230814,170
1194,20230816,155
1195,20230817,340
1196,20230818,240
1197,20230821,190
1198,20230822,215
1199,20230823,215
1200,20230824,130
1201,20230825,140
1202,20230828,155
1203,20230829,140
1204,20230830,85
1205,20230831,115
1206,20230901,365
1207,20230904,90
1208,20230905,155
1209,20230906,115
1210,20230907,135
1211,20230908,180
1212,20230911,170
1213,20230912,165
1214,20230913,180
1215,20230914,95
1216,20230915,220
1217,20230918,165
1218,20230919,115
1219,20230920,125
1220,20230921,170
1221,20230922,160
1222,20230925,190
1223,20230926,380
1224,20230927,225
1225,20231004,410
1226,20231005,245
1227,20231006,165
1228,20231010,260
1229,20231011,190
1230,20231012,160
1231,20231013,195
1232,20231016,160
1233,20231017,140
1234,20231018,170
1235,20231019,155
1236,20231020,330
1237,20231023,185
1238,20231024,220
1239,20231025,155
1240,20231026,195
