,date,y_minmax_1000
479,20200914,150
480,20200915,141
481,20200916,112
482,20200917,301
483,20200918,188
484,20200921,226
485,20200922,315
486,20200923,451
487,20200924,254
488,20200925,268
489,20200928,127
490,20200929,179
491,20201005,239
492,20201006,150
493,20201007,122
494,20201008,169
495,20201012,159
496,20201013,301
497,20201014,268
498,20201015,296
499,20201016,174
500,20201019,183
501,20201020,348
502,20201021,193
503,20201022,193
504,20201023,202
505,20201026,188
506,20201027,240
507,20201028,131
508,20201029,240
509,20201030,183
510,20201102,216
511,20201103,330
512,20201104,372
513,20201105,334
514,20201106,240
515,20201109,249
516,20201110,362
517,20201111,255
518,20201112,188
519,20201113,310
520,20201116,429
521,20201117,198
522,20201118,240
523,20201119,184
524,20201120,278
525,20201123,570
526,20201124,353
527,20201125,189
528,20201126,197
529,20201127,151
530,20201130,452
531,20201201,278
532,20201202,508
533,20201204,654
534,20201207,330
535,20201208,226
536,20201209,222
537,20201210,240
538,20201211,250
539,20201214,339
540,20201215,387
541,20201216,263
542,20201217,198
543,20201218,184
544,20201221,414
545,20201222,194
546,20201223,325
547,20201224,386
548,20201228,250
549,20201229,734
550,20201230,282
551,20210105,420
552,20210106,499
553,20210107,363
554,20210108,401
555,20210111,885
556,20210112,787
557,20210113,594
558,20210114,556
559,20210115,923
560,20210118,664
561,20210119,537
562,20210120,579
563,20210121,386
564,20210122,339
565,20210125,533
566,20210126,395
567,20210127,537
568,20210128,391
569,20210129,632
570,20210201,816
571,20210202,519
572,20210203,406
573,20210204,575
574,20210205,495
575,20210208,472
576,20210209,330
577,20210210,264
578,20210215,330
579,20210216,504
580,20210217,425
581,20210218,259
582,20210219,274
583,20210222,410
584,20210223,311
585,20210224,382
586,20210225,363
587,20210226,429
588,20210302,250
589,20210303,345
590,20210304,429
591,20210305,198
592,20210308,368
593,20210309,646
594,20210310,335
595,20210311,391
596,20210312,320
597,20210315,354
598,20210316,146
599,20210317,410
600,20210318,293
601,20210319,241
602,20210322,353
603,20210323,349
604,20210324,340
605,20210325,283
606,20210326,174
607,20210329,349
608,20210330,288
609,20210331,311
610,20210401,160
611,20210402,254
612,20210405,316
613,20210406,132
614,20210407,179
615,20210408,165
616,20210409,297
617,20210412,193
618,20210413,316
619,20210414,240
620,20210415,330
621,20210416,264
622,20210419,321
623,20210420,217
624,20210421,315
625,20210422,184
626,20210423,340
627,20210426,150
628,20210427,170
629,20210428,339
630,20210429,493
631,20210430,263
632,20210503,441
633,20210504,239
634,20210506,374
635,20210507,153
636,20210510,210
637,20210511,503
638,20210512,575
639,20210513,464
640,20210514,173
641,20210517,402
642,20210518,234
643,20210520,335
644,20210521,369
645,20210524,312
646,20210525,192
647,20210526,154
648,20210527,383
649,20210528,215
650,20210531,302
651,20210601,455
652,20210602,288
653,20210603,321
654,20210604,288
655,20210607,374
656,20210608,191
657,20210609,191
658,20210610,129
659,20210611,273
660,20210614,177
661,20210615,163
662,20210616,321
663,20210617,191
664,20210618,225
665,20210621,258
666,20210622,143
667,20210623,139
668,20210624,144
669,20210625,230
670,20210628,124
671,20210629,210
672,20210630,158
673,20210701,287
674,20210702,225
675,20210705,158
676,20210706,182
677,20210707,225
678,20210708,134
679,20210709,513
680,20210712,153
681,20210713,158
682,20210714,230
683,20210715,167
684,20210716,158
685,20210719,158
686,20210720,191
687,20210721,221
688,20210722,177
689,20210723,244
690,20210726,283
691,20210727,187
692,20210728,302
693,20210729,115
694,20210730,225
695,20210802,178
696,20210803,345
697,20210804,153
698,20210805,225
699,20210806,183
700,20210809,197
701,20210810,331
702,20210811,269
703,20210812,211
704,20210813,556
705,20210817,369
706,20210818,312
707,20210819,297
708,20210820,393
709,20210823,259
710,20210824,341
711,20210825,239
712,20210826,206
713,20210827,206
714,20210830,384
715,20210831,254
716,20210901,355
717,20210902,245
718,20210903,336
719,20210906,202
720,20210907,331
721,20210908,235
722,20210909,278
723,20210910,249
724,20210913,417
725,20210914,192
726,20210915,163
727,20210916,354
728,20210917,225
729,20210923,307
730,20210924,211
731,20210927,279
732,20210928,370
733,20210929,226
734,20210930,255
735,20211001,369
736,20211005,489
737,20211006,278
738,20211007,259
739,20211008,298
740,20211012,609
741,20211013,556
742,20211014,278
743,20211015,230
744,20211018,422
745,20211019,240
746,20211020,216
747,20211021,239
748,20211022,178
749,20211025,350
750,20211026,148
751,20211027,273
752,20211028,193
753,20211029,452
754,20211101,211
755,20211102,500
756,20211103,399
757,20211104,221
758,20211105,616
759,20211108,495
760,20211109,495
761,20211110,260
762,20211111,236
763,20211112,298
764,20211115,231
765,20211116,274
766,20211117,404
767,20211119,394
768,20211122,361
769,20211123,254
770,20211124,307
771,20211125,279
772,20211126,346
773,20211129,446
774,20211130,231
775,20211201,370
776,20211202,553
777,20211203,216
778,20211206,351
779,20211207,240
780,20211208,351
781,20211209,284
782,20211210,202
783,20211213,413
784,20211214,206
785,20211215,274
786,20211216,293
787,20211217,471
788,20211220,231
789,20211221,322
790,20211222,226
791,20211223,231
792,20211224,303
793,20211227,254
794,20211228,283
795,20211229,192
796,20211230,255
797,20220104,264
798,20220105,428
799,20220106,274
800,20220107,375
801,20220110,523
802,20220111,264
803,20220112,240
804,20220113,164
805,20220114,235
806,20220117,264
807,20220118,274
808,20220119,283
809,20220120,216
810,20220121,173
811,20220124,461
812,20220125,625
813,20220126,283
814,20220127,616
815,20220128,448
816,20220203,409
817,20220204,380
