,date,y_minmax
50389,20210528,91
50466,20210531,120
50543,20210601,100
50620,20210602,159
50697,20210603,100
50774,20210604,76
50851,20210607,91
50928,20210608,110
51005,20210609,110
51082,20210610,125
51159,20210611,134
51236,20210614,106
51313,20210615,77
51390,20210616,105
51467,20210617,95
51544,20210618,91
51621,20210621,105
51698,20210622,48
51775,20210623,87
51852,20210624,81
51929,20210625,53
52006,20210628,91
52083,20210629,105
52160,20210630,57
52237,20210701,148
52314,20210702,48
52391,20210705,58
52468,20210706,57
52545,20210707,105
52622,20210708,87
52699,20210709,158
52776,20210712,86
52853,20210713,129
52930,20210714,129
53007,20210715,76
53084,20210716,72
53161,20210719,72
53238,20210720,139
53315,20210721,91
53392,20210722,71
53469,20210723,82
53546,20210726,120
53623,20210727,119
53700,20210728,144
53777,20210729,96
53854,20210730,143
53931,20210802,116
54008,20210803,163
54085,20210804,106
54162,20210805,110
54239,20210806,87
54316,20210809,82
54393,20210810,124
54470,20210811,81
54547,20210812,116
54624,20210813,158
54701,20210817,105
54778,20210818,111
54855,20210819,163
54932,20210820,153
55009,20210823,130
55086,20210824,125
55163,20210825,172
55240,20210826,159
55317,20210827,105
55394,20210830,120
55471,20210831,144
55548,20210901,67
55625,20210902,101
55702,20210903,139
55779,20210906,101
55856,20210907,96
55933,20210908,72
56010,20210909,101
56087,20210910,77
56164,20210913,148
56241,20210914,139
56318,20210915,115
56395,20210916,105
56472,20210917,105
56549,20210923,192
56626,20210924,134
56703,20210927,116
56780,20210928,144
56857,20210929,110
56934,20210930,130
57011,20211001,106
57088,20211005,144
57165,20211006,81
57242,20211007,134
57319,20211008,87
57396,20211012,178
57473,20211013,115
57550,20211014,124
57627,20211015,220
57704,20211018,297
57781,20211019,168
57858,20211020,120
57935,20211021,163
58012,20211022,81
58089,20211025,149
58166,20211026,100
58243,20211027,76
58320,20211028,121
58397,20211029,130
58474,20211101,197
58551,20211102,202
58628,20211103,269
58705,20211104,163
58782,20211105,274
58859,20211108,245
58936,20211109,414
59013,20211110,187
59090,20211111,149
59167,20211112,164
59244,20211115,110
59321,20211116,159
59398,20211117,92
59552,20211119,293
59629,20211122,188
59706,20211123,115
59783,20211124,115
59860,20211125,154
59937,20211126,178
60014,20211129,312
60091,20211130,164
60168,20211201,265
60245,20211202,207
60322,20211203,206
60399,20211206,130
60476,20211207,187
60553,20211208,168
60630,20211209,187
60707,20211210,106
60784,20211213,129
60861,20211214,91
60938,20211215,115
61015,20211216,72
61092,20211217,158
61169,20211220,111
61246,20211221,197
61323,20211222,173
61400,20211223,116
61477,20211224,106
61554,20211227,101
61631,20211228,125
61708,20211229,149
61785,20211230,183
61927,20220104,264
62004,20220105,97
62081,20220106,111
62158,20220107,120
62235,20220110,230
62312,20220111,159
62389,20220112,125
62466,20220113,58
62543,20220114,192
62620,20220117,101
62697,20220118,149
62774,20220119,120
62851,20220120,120
62928,20220121,173
63005,20220124,120
63082,20220125,221
63159,20220126,211
63236,20220127,77
63313,20220128,169
63390,20220203,347
63467,20220204,163
63544,20220207,457
63621,20220208,187
63698,20220209,116
63775,20220210,154
63852,20220211,121
63929,20220214,125
64006,20220215,168
64083,20220216,125
64160,20220217,159
64237,20220218,91
64314,20220221,236
64391,20220222,163
64468,20220223,125
64545,20220224,91
64622,20220225,106
64699,20220228,115
64776,20220302,178
64853,20220303,126
64930,20220304,145
65007,20220307,198
65084,20220308,139
65161,20220310,82
65238,20220311,193
65315,20220314,130
65392,20220315,164
65469,20220316,92
65546,20220317,120
65623,20220318,145
65700,20220321,275
65777,20220322,158
65854,20220323,125
65931,20220324,97
66008,20220325,179
66085,20220328,250
66162,20220329,140
66239,20220330,106
66316,20220331,101
66393,20220401,149
66470,20220404,187
66547,20220405,115
66624,20220406,111
66701,20220407,130
66778,20220408,57
66855,20220411,135
66932,20220412,111
67009,20220413,77
67086,20220414,163
67163,20220415,168
67240,20220418,211
67317,20220419,139
67394,20220420,188
67471,20220421,115
67548,20220422,178
67625,20220425,110
67702,20220426,82
67779,20220427,125
67856,20220428,171
67933,20220429,219
68010,20220502,190
68087,20220503,107
68164,20220504,92
68241,20220506,127
68318,20220509,126
68395,20220510,59
68472,20220511,93
68549,20220512,64
68626,20220513,117
68703,20220516,88
68780,20220517,127
68857,20220518,127
68934,20220519,191
69011,20220520,147
69088,20220523,195
69165,20220524,117
69242,20220525,107
69319,20220526,166
69396,20220527,137
69473,20220530,117
69550,20220531,117
69627,20220602,152
69704,20220603,59
69781,20220607,200
69858,20220608,73
69935,20220609,112
70012,20220610,141
70089,20220613,98
70166,20220614,190
70243,20220615,122
70320,20220616,83
70397,20220617,170
70474,20220620,498
70551,20220621,1026
70628,20220622,166
70705,20220623,283
70782,20220624,107
70859,20220627,156
70936,20220628,146
71013,20220629,132
71090,20220630,195
71167,20220701,171
71244,20220704,284
71321,20220705,176
71398,20220706,151
71475,20220707,147
71552,20220708,127
71629,20220711,141
71706,20220712,122
71783,20220713,112
71860,20220714,78
71937,20220715,166
72014,20220718,186
72091,20220719,136
72168,20220720,88
72245,20220721,73
72322,20220722,127
72399,20220725,205
72476,20220726,117
72553,20220727,132
72630,20220728,103
72707,20220729,68
72784,20220801,147
72861,20220802,88
72938,20220803,107
73015,20220804,78
73092,20220805,123
73169,20220808,108
73246,20220809,107
73323,20220810,108
73400,20220811,30
73477,20220812,167
73554,20220816,152
73631,20220817,108
73708,20220818,132
73785,20220819,211
73862,20220822,74
73939,20220823,133
74016,20220824,78
74093,20220825,59
74170,20220826,83
74247,20220829,127
74324,20220830,63
74401,20220831,64
74478,20220901,73
74555,20220902,142
74632,20220905,157
74709,20220906,74
74786,20220907,88
74863,20220908,83
74940,20220913,166
75017,20220914,108
75094,20220915,83
75171,20220916,79
75248,20220919,98
75325,20220920,68
75402,20220921,73
75479,20220922,78
75556,20220923,83
75633,20220926,93
75710,20220927,127
75787,20220928,127
75864,20220929,93
75941,20220930,186
76018,20221004,132
76095,20221005,103
76172,20221006,122
76249,20221007,68
76326,20221011,176
76403,20221012,113
76480,20221013,78
76557,20221014,108
76634,20221017,93
76711,20221018,88
76788,20221019,64
76865,20221020,73
76942,20221021,122
77019,20221024,103
77096,20221025,83
77173,20221026,107
77250,20221027,68
77327,20221028,108
77404,20221031,73
77481,20221101,69
77558,20221102,63
77635,20221103,54
77712,20221104,133
77789,20221107,123
77866,20221108,49
77943,20221109,73
78020,20221110,69
78097,20221111,157
78174,20221114,98
78251,20221115,94
78328,20221116,94
78482,20221118,98
78559,20221121,182
78636,20221122,103
78713,20221123,74
78790,20221124,59
78867,20221125,93
78944,20221128,157
79021,20221129,103
79098,20221130,108
79175,20221201,69
79252,20221202,191
79329,20221205,280
79406,20221206,103
79483,20221207,69
79560,20221208,64
79637,20221209,103
79714,20221212,93
79791,20221213,74
79868,20221214,83
79945,20221215,79
80022,20221216,88
80099,20221219,98
80176,20221220,123
80253,20221221,93
80330,20221222,78
80407,20221223,108
80484,20221226,79
80561,20221227,123
80638,20221228,113
80715,20221229,64
80857,20230103,187
80934,20230104,123
81011,20230105,133
