date,kodex_open,sp500_closing,PER,KR_10Y,kodex_volume,Dividend_Yield
2023-08-23,33135.0,4436.01,13.44,3.913,4340162,2.18
2023-08-22,32985.0,4387.55,13.47,3.986,6094050,2.18
2023-08-21,32700.0,4399.77,13.43,3.977,3525107,2.18
2023-08-18,32980.0,4369.71,13.41,3.918,6251548,2.19
2023-08-17,33435.0,4370.36,13.49,3.986,6816054,2.17
2023-08-16,33890.0,4404.33,13.53,3.876,4192173,2.17
2023-08-14,34175.0,4489.72,13.74,3.879,2612622,2.13
2023-08-11,34005.0,4464.05,13.84,3.826,4256388,2.12
2023-08-10,33900.0,4468.83,13.9,3.786,5871749,2.11
2023-08-09,34250.0,4467.71,13.95,3.768,4899630,2.1
2023-08-08,34040.0,4499.38,13.8,3.74,4778109,2.12
2023-08-07,34275.0,4518.44,13.87,3.812,4514528,2.11
2023-08-04,34450.0,4478.03,13.94,3.88,4834540,2.1
2023-08-03,34975.0,4501.89,13.94,3.832,4962396,2.1
2023-08-02,34720.0,4513.39,14.03,3.799,3910880,2.09
2023-08-01,34685.0,4576.73,14.32,3.723,4677453,2.05
2023-07-31,34415.0,4588.96,14.1,3.758,4536470,2.08
2023-07-28,34256.0,4582.23,14.04,3.727,4229850,2.09
2023-07-27,34580.0,4537.41,14.07,3.637,3606570,2.08
2023-07-26,34605.0,4566.75,13.89,3.66,3565875,2.11
2023-07-25,34291.0,4567.46,14.07,3.683,4891105,2.08
2023-07-24,34026.0,4554.64,14.05,3.635,5117383,2.09
2023-07-21,34156.0,4536.34,13.97,3.637,4184618,2.1
2023-07-20,34610.0,4534.87,13.94,3.602,4505947,2.1
2023-07-19,34735.0,4565.72,14.0,3.57,4510408,2.09
2023-07-18,34595.0,4554.98,14.01,3.651,5493052,2.09
2023-07-17,34465.0,4522.79,14.11,3.664,4193120,2.08
2023-07-14,34246.0,4505.42,14.15,3.685,7308085,2.07
2023-07-13,33777.0,4510.04,13.92,3.654,4889195,2.11
2023-07-12,33403.0,4472.16,13.85,3.751,3901487,2.12
2023-07-11,33268.0,4439.26,13.75,3.757,5453416,2.13
2023-07-10,33502.0,4409.53,13.5,3.854,4118335,2.17
2023-07-07,33936.0,4398.95,13.53,3.762,5865737,2.17
2023-07-06,34226.0,4411.59,13.72,3.709,4774895,2.14
2023-07-05,34011.0,4446.82,13.83,3.652,5152905,2.12
2023-07-03,33797.0,4455.59,14.0,3.62,3853619,2.09
2023-06-30,33891.0,4450.38,13.79,3.697,5405529,2.13
2023-06-29,34101.0,4396.44,13.72,3.625,4387681,2.14
2023-06-28,33926.0,4376.86,13.81,3.609,5118941,2.12
2023-06-27,33767.0,4378.41,13.89,3.603,4303950,2.11
2023-06-26,34121.0,4328.82,13.89,3.611,3585501,2.11
2023-06-23,33837.0,4348.33,13.81,3.66,6279646,2.12
2023-06-22,34156.0,4381.89,13.92,3.647,3103280,2.11
2023-06-21,34186.0,4365.69,13.85,3.621,4809649,2.12
2023-06-20,34480.0,4388.71,13.97,3.641,4709416,2.1
2023-06-16,34510.0,4409.59,14.08,3.657,5727340,2.08
2023-06-15,34595.0,4425.84,14.0,3.683,5790246,2.1
2023-06-14,34630.0,4372.59,14.06,3.637,6214440,2.09
2023-06-13,34735.0,4369.01,14.14,3.578,6885529,2.08
2023-06-12,34375.0,4338.93,14.05,3.574,6209239,2.09
2023-06-09,34141.0,4298.86,14.14,3.591,4801129,2.07
2023-06-08,34420.0,4293.93,11.72,3.632,4005345,2.11
2023-06-07,34425.0,4267.52,11.74,3.519,2849717,2.1
2023-06-05,34006.0,4273.79,11.76,3.561,4247539,2.1
2023-06-02,33852.0,4282.37,11.72,3.495,6107444,2.11
2023-06-01,34096.0,4221.02,11.56,3.549,4804760,2.14
2023-05-31,34026.0,4179.83,11.6,3.532,5650650,2.13
2023-05-30,33627.0,4205.52,11.69,3.652,4111944,2.11
2023-05-26,33767.0,4205.45,11.54,3.635,5978977,2.14
2023-05-25,33527.0,4151.28,11.48,3.598,5271035,2.15
2023-05-24,33742.0,4115.24,11.52,3.5,4576082,2.14
2023-05-23,33412.0,4145.58,11.54,3.468,5045463,2.14
2023-05-22,33188.0,4192.63,11.51,3.399,3966136,2.15
2023-05-19,32834.0,4191.98,11.44,3.42,5222943,2.16
2023-05-18,32470.0,4198.05,11.29,3.368,4954842,2.19
2023-05-17,32649.0,4158.77,11.18,3.318,4027979,2.21
2023-05-16,32280.0,4109.9,11.13,3.305,5673874,2.22
2023-05-15,32385.0,4136.28,11.1,3.332,6887876,2.22
2023-05-12,32709.0,4124.08,11.08,3.271,6246801,2.23
2023-05-11,32789.0,4130.62,11.13,3.289,5110373,2.22
2023-05-10,32839.0,4137.64,11.16,3.344,6431364,2.21
2023-05-09,32849.0,4119.17,11.23,3.309,4555007,2.2
2023-05-08,32485.0,4138.12,11.26,3.308,6561313,2.19
2023-05-04,32654.0,4061.22,11.16,3.28,7313216,2.21
2023-05-03,32649.0,4090.75,11.18,3.329,6586685,2.21
2023-05-02,32664.0,4119.58,11.26,3.372,6660528,2.19
2023-04-28,32400.0,4169.48,10.47,3.355,9427446,2.19
2023-04-27,32390.0,4135.35,10.43,3.341,6539894,2.2
2023-04-26,32906.0,4055.99,10.39,3.309,2560158,2.21
2023-04-25,32946.0,4071.63,10.41,3.322,3370248,2.21
2023-04-24,33148.0,4137.04,10.54,3.306,5000689,2.18
2023-04-21,33207.0,4133.52,10.61,3.345,4992905,2.16
2023-04-20,33280.0,4129.79,10.67,3.417,6334494,2.15
2023-04-19,33369.0,4154.52,10.71,3.37,5829778,2.15
2023-04-18,33320.0,4154.87,10.7,3.352,7409474,2.15
2023-04-17,33418.0,4151.32,10.71,3.348,5369617,2.14
2023-04-14,32990.0,4137.64,10.7,3.284,6698661,2.15
2023-04-13,33015.0,4146.22,10.68,3.267,6195858,2.15
2023-04-12,32714.0,4091.95,10.65,3.258,5179226,2.16
2023-04-11,32291.0,4108.94,10.61,3.263,5590169,2.17
2023-04-10,32207.0,4109.11,10.47,3.244,8241142,2.2
2023-04-06,32168.0,4105.02,10.2,3.278,6836479,2.25
2023-04-05,32045.0,4090.38,10.38,3.327,6421621,2.21
2023-04-04,32271.0,4100.6,10.32,3.316,8115916,2.23
2023-04-03,31917.0,4124.51,10.28,3.392,5548148,2.24
2023-03-31,31774.0,4109.31,10.34,3.333,5226074,2.22
2023-03-30,31474.0,4050.83,10.21,3.303,7565426,2.25
2023-03-29,31277.0,4027.81,10.18,3.287,4101326,2.25
2023-03-28,31415.0,3971.27,10.15,3.281,5931049,2.26
2023-03-27,31410.0,3977.53,10.04,3.257,5711243,2.28
2023-03-24,31095.0,3970.99,10.09,3.208,7105716,2.27
2023-03-23,31213.0,3948.72,10.13,3.262,5545034,2.26
2023-03-22,31031.0,3936.97,10.08,3.295,6352362,2.28
2023-03-21,31075.0,4002.87,9.96,3.304,5757271,2.3
2023-03-20,31080.0,3951.57,9.93,3.305,5918884,2.31
2023-03-17,30529.0,3916.64,10.02,3.407,7093204,2.29
2023-03-16,30770.0,3960.28,9.9,3.392,8630206,2.32
2023-03-15,30888.0,3891.93,9.92,3.418,8595724,2.31
2023-03-14,31080.0,3920.56,9.81,3.303,12492298,2.34
2023-03-13,30908.0,3855.76,10.05,3.398,8834095,2.28
2023-03-10,31499.0,3861.59,9.97,3.583,8410036,2.3
2023-03-09,31538.0,3918.32,10.08,3.742,6834509,2.28
2023-03-08,31947.0,3992.01,10.12,3.723,11099877,2.27
2023-03-07,31824.0,3986.37,10.26,3.662,6137473,2.23
2023-03-06,31656.0,4048.42,10.3,3.741,9338673,2.23
2023-03-03,31430.0,4045.64,10.15,3.777,7259891,2.26
2023-03-02,31430.0,3981.35,10.15,3.84,10062944,2.26
2023-02-28,31312.0,3970.15,10.1,3.751,7929621,2.27
2023-02-27,31824.0,3982.24,10.08,3.608,11461975,2.28
2023-02-24,31607.0,3970.04,10.17,3.534,7045819,2.25
2023-02-23,31656.0,4012.32,10.26,3.588,12772558,2.24
2023-02-22,32080.0,3991.05,10.14,3.646,8683670,2.26
2023-02-21,31809.0,3997.34,10.32,3.6,5503526,2.22
2023-02-17,31843.0,4079.09,10.3,3.627,7382230,2.23
2023-02-16,32311.0,4090.41,10.41,3.476,7189884,2.2
2023-02-15,32311.0,4147.6,10.21,3.462,11680503,2.25
2023-02-14,32075.0,4136.13,10.39,3.398,7075137,2.21
2023-02-13,32124.0,4137.29,10.33,3.433,10373276,2.22
2023-02-10,32237.0,4090.46,10.39,3.368,8157441,2.21
2023-02-09,32134.0,4081.5,10.43,3.362,6738695,2.2
2023-02-08,31760.0,4117.86,10.45,3.322,7650909,2.19
2023-02-07,32183.0,4164.0,10.29,3.303,5465871,2.23
2023-02-06,32281.0,4111.08,10.24,3.281,9402253,2.24
2023-02-03,32434.0,4136.48,10.46,3.148,5626639,2.19
2023-02-02,31878.0,4179.76,10.4,3.207,8962456,2.21
2023-02-01,32148.0,4119.21,10.31,3.239,6515412,2.22
2023-01-31,32680.0,4076.6,10.19,3.318,7935638,2.25
2023-01-30,32479.0,4017.77,10.36,3.239,7033647,2.21
2023-01-27,31997.0,4070.56,10.55,3.283,4188250,2.17
2023-01-26,31914.0,4060.43,10.47,3.231,3855006,2.19
2023-01-25,31236.0,4016.22,10.31,3.23,4516680,2.22
2023-01-20,30907.0,3972.61,10.15,3.28,6907768,2.26
2023-01-19,31241.0,3898.85,10.09,3.213,5748056,2.27
2023-01-18,31506.0,3928.86,10.03,3.343,5740946,2.29
2023-01-17,31128.0,3990.97,10.08,3.444,4771199,2.27
2023-01-13,31148.0,3999.09,10.09,3.301,6372053,2.27
2023-01-12,31045.0,3983.17,9.99,3.413,5541541,2.29
2023-01-11,30784.0,3969.61,9.98,3.427,6137182,2.3
2023-01-10,30392.0,3919.25,9.95,3.462,7641179,2.3
2023-01-09,29532.0,3892.09,9.95,3.478,8083754,2.3
2023-01-06,29670.0,3895.08,9.69,3.573,7506914,2.36
2023-01-05,28732.0,3808.1,9.57,3.57,8290777,2.39
2023-01-04,28928.0,3852.97,9.51,3.598,8244362,2.41
2023-01-03,29434.0,3824.14,9.31,3.661,9429624,2.46
2022-12-29,29812.0,3849.28,9.36,3.723,5612458,2.45
2022-12-28,29866.0,3783.22,9.55,3.675,7404734,2.4
2022-12-27,29876.0,3829.25,9.78,3.612,2965681,2.34
2022-12-23,29964.0,3844.82,9.71,3.552,7305483,2.36
2022-12-22,30082.0,3822.39,9.88,3.499,4721821,2.32
2022-12-21,30038.0,3878.44,9.74,3.567,5828615,2.35
2022-12-20,30072.0,3821.62,9.77,3.584,5914949,2.34
2022-12-19,29837.0,3817.66,9.86,3.39,4302980,2.32
2022-12-16,30613.0,3852.36,9.88,3.362,5953802,2.32
2022-12-15,30568.0,3895.75,8.89,3.399,7365150,2.32
2022-12-14,30642.0,3995.32,9.05,3.407,5017831,2.28
2022-12-13,30455.0,4019.65,8.94,3.469,6181491,2.3
2022-12-12,30470.0,3990.56,8.94,3.449,5604325,2.3
2022-12-09,30342.0,3934.38,9.0,3.445,5413996,2.29
2022-12-08,30382.0,3963.51,8.86,3.527,7474841,2.32
2022-12-07,30617.0,3933.92,8.86,3.51,3186652,2.32
2022-12-06,31089.0,3941.26,8.92,3.503,5212424,2.31
2022-12-05,31575.0,3998.84,9.03,3.564,10034670,2.28
2022-12-02,31953.0,4071.7,9.06,3.585,8302168,2.27
2022-12-01,30868.0,4076.57,9.26,3.666,7715411,2.22
2022-11-30,30671.0,4080.11,9.23,3.654,4236650,2.23
2022-11-29,30868.0,3957.63,9.08,3.672,6686117,2.27
2022-11-28,31212.0,3963.94,8.98,3.61,6656680,2.29
2022-11-25,30917.0,4026.12,9.09,3.623,4627117,2.27
2022-11-23,30843.0,4027.26,9.03,3.783,7608391,2.28
2022-11-22,31231.0,4003.58,8.97,3.77,7892330,2.29
2022-11-21,31226.0,3949.94,9.05,3.763,10809043,2.28
2022-11-18,31767.0,3965.34,9.12,3.811,7792788,2.26
2022-11-16,31708.0,3958.79,9.26,3.891,9436418,2.22
2022-11-15,31855.0,3991.73,9.26,3.872,6999822,2.22
2022-11-14,30740.0,3957.25,9.24,3.927,11523843,2.23
2022-11-10,30814.0,3956.37,8.94,4.089,9251265,2.3
2022-11-09,30465.0,3748.57,9.06,4.168,8921644,2.27
2022-11-08,30009.0,3828.11,8.97,4.242,9289060,2.3
2022-11-07,29527.0,3806.8,8.85,4.268,8244869,2.33
2022-11-04,29321.0,3770.55,8.75,4.178,7927261,2.35
2022-11-03,29508.0,3719.89,8.67,4.203,7015353,2.37
2022-11-01,29311.0,3856.1,8.74,4.171,7628604,2.36
2022-10-31,29159.0,3871.98,8.61,4.255,6712271,2.39
2022-10-28,29037.0,3901.06,8.48,4.163,8612746,2.43
2022-10-27,28666.0,3807.3,8.59,4.27,8172321,2.4
2022-10-26,28670.0,3830.6,8.45,4.255,3894352,2.44
2022-10-25,28812.0,3859.11,8.38,4.385,6306661,2.46
2022-10-24,28225.0,3797.34,8.38,4.485,7775251,2.46
2022-10-21,28426.0,3752.75,8.3,4.655,6694877,2.48
2022-10-20,28842.0,3665.78,8.3,4.415,8731668,2.48
2022-10-19,28871.0,3695.16,8.37,4.378,8293684,2.46
2022-10-18,28059.0,3719.98,8.44,4.274,7123768,2.44
2022-10-17,28166.0,3677.95,8.32,4.2,7545821,2.47
2022-10-14,28108.0,3583.07,8.32,4.2,11127809,2.48
2022-10-13,27917.0,3669.91,8.12,4.246,11320110,2.54
2022-10-12,27990.0,3577.03,8.25,4.117,9876473,2.5
2022-10-11,28352.0,3588.84,8.19,4.304,11159636,2.51
2022-10-07,28577.0,3639.66,8.35,4.216,10544998,2.47
2022-10-06,28837.0,3744.52,8.37,4.102,12643883,2.46
2022-10-05,28073.0,3783.28,8.31,4.068,10926908,2.48
2022-10-04,27687.0,3790.93,8.29,4.007,4600380,2.48
2022-09-30,28127.0,3585.62,8.09,4.109,7792133,2.55
2022-09-29,28157.0,3640.47,8.13,4.227,8122193,2.53
2022-09-28,28455.0,3719.04,8.14,4.231,13070551,2.53
2022-09-27,28773.0,3647.29,8.34,4.206,8925256,2.47
2022-09-26,29502.0,3655.04,8.33,4.302,10730819,2.47
2022-09-23,29473.0,3693.23,8.56,4.107,9383821,2.41
2022-09-22,29884.0,3757.99,8.67,3.987,13300421,2.37
2022-09-21,30217.0,3789.93,8.76,3.903,7260485,2.35
2022-09-20,30290.0,3855.93,8.84,3.82,5324048,2.33
2022-09-19,30148.0,3899.89,8.81,3.799,6312275,2.34
2022-09-16,30677.0,3873.33,8.87,3.772,8320120,2.32
2022-09-15,30329.0,3901.35,9.24,3.791,7565070,2.31
2022-09-14,30824.0,3946.01,9.3,3.658,7997162,2.29
2022-09-13,30422.0,3932.69,9.47,3.645,5713949,2.25
2022-09-08,30447.0,4006.18,9.19,3.622,6545860,2.32
2022-09-07,30731.0,3979.87,9.16,3.736,9772730,2.33
2022-09-06,30961.0,3908.19,9.31,3.71,7688125,2.29
2022-09-02,31142.0,3924.26,9.31,3.745,10476676,2.29
2022-09-01,31014.0,3966.85,9.37,3.799,13924981,2.27
2022-08-31,31112.0,3955.0,9.61,3.747,8064770,2.22
2022-08-30,30970.0,3986.16,9.5,3.695,4542890,2.24
2022-08-29,31861.0,4030.61,9.41,3.715,6905633,2.26
2022-08-26,31465.0,4057.66,9.63,3.614,5105635,2.21
2022-08-25,31318.0,4199.12,9.63,3.595,5524831,2.21
2022-08-24,31391.0,4140.77,9.51,3.433,5935202,2.24
2022-08-23,31685.0,4128.73,9.48,3.371,6286658,2.25
2022-08-22,32248.0,4137.99,9.6,3.35,5912162,2.22
2022-08-19,32164.0,4228.48,9.72,3.312,4617195,2.19
2022-08-18,32561.0,4283.74,9.78,3.221,7736875,2.18
2022-08-17,32639.0,4274.04,9.81,3.19,7235384,2.17
2022-08-16,32262.0,4305.2,9.87,3.161,6953022,2.16
2022-08-12,32130.0,4280.15,9.84,3.303,6551285,2.17
2022-08-11,31973.0,4207.27,9.81,3.239,7132031,2.17
2022-08-10,32052.0,4210.24,9.65,3.212,6536137,2.21
2022-08-09,31881.0,4122.47,9.76,3.168,6233608,2.18
2022-08-08,31988.0,4140.06,9.73,3.178,5544299,2.19
2022-08-05,31939.0,4145.19,9.74,3.125,6364125,2.19
2022-08-04,31523.0,4151.94,9.68,3.144,7616673,2.2
2022-08-03,31646.0,4155.17,9.63,3.139,5674896,2.21
2022-08-02,31616.0,4091.19,9.57,3.099,6457192,2.23
2022-08-01,31807.0,4118.63,9.61,3.186,6209602,2.22
2022-07-29,31655.0,4130.29,9.62,3.127,8573694,2.21
2022-07-28,31333.0,4072.43,9.57,3.197,7467045,2.23
2022-07-27,31123.0,4023.61,9.51,3.132,2151172,2.24
2022-07-26,31005.0,3921.05,9.51,3.184,2336294,2.24
2022-07-25,31235.0,3966.84,9.47,3.213,5069028,2.25
2022-07-22,31010.0,3961.63,9.44,3.303,6393027,2.26
2022-07-21,31235.0,3998.95,9.51,3.374,5684195,2.24
2022-07-20,30717.0,3959.9,9.4,3.363,6973806,2.27
2022-07-19,30473.0,3936.69,9.34,3.268,4798461,2.28
2022-07-18,30175.0,3830.85,9.37,3.264,7366296,2.27
2022-07-15,29873.0,3863.16,9.16,3.257,7429284,2.33
2022-07-14,30014.0,3790.38,9.08,3.305,6038243,2.35
2022-07-13,30107.0,3801.78,9.12,3.303,7004803,2.34
2022-07-12,30468.0,3818.8,9.07,3.355,5684967,2.35
2022-07-11,30454.0,3854.43,9.17,3.385,6728362,2.32
2022-07-08,29873.0,3899.38,9.22,3.365,9049083,2.31
2022-07-07,30087.0,3902.62,9.17,3.291,6908565,2.32
2022-07-06,30131.0,3845.08,8.99,3.282,9335483,2.37
2022-07-05,30322.0,3831.39,9.19,3.388,7419147,2.32
2022-07-01,30546.0,3825.33,9.04,3.489,6390874,2.36
2022-06-30,30815.0,3785.38,9.14,3.637,8131111,2.33
2022-06-29,30981.0,3818.83,9.3,3.667,6325889,2.29
2022-06-28,30781.0,3821.55,9.49,3.664,6908530,2.24
2022-06-27,30078.0,3900.11,9.4,3.724,8778600,2.27
2022-06-24,30146.0,3911.74,9.28,3.642,10702972,2.3
2022-06-23,31059.0,3795.73,9.08,3.695,13458953,2.35
2022-06-22,30937.0,3759.89,9.16,3.703,10445800,2.32
2022-06-21,30937.0,3764.79,9.41,3.776,7707081,2.26
2022-06-17,31928.0,3674.84,9.52,3.795,7466777,2.24
2022-06-16,32036.0,3666.77,9.58,3.76,9407066,2.22
2022-06-15,31650.0,3789.99,9.58,3.803,10793594,2.22
2022-06-14,32724.0,3735.48,9.76,3.697,12487832,2.18
2022-06-13,33491.0,3749.63,9.81,3.644,9661026,2.17
2022-06-10,33740.0,3900.86,10.17,3.495,4493428,2.1
2022-06-09,33808.0,4017.82,10.24,3.465,4787447,2.09
2022-06-08,34257.0,4115.77,9.62,3.474,3792133,2.09
2022-06-07,34526.0,4160.68,9.61,3.538,3857119,2.1
2022-06-03,34414.0,4108.54,9.78,3.403,6420899,2.06
2022-06-02,34414.0,4176.82,9.74,3.422,6100816,2.07
2022-05-31,34018.0,4132.15,9.86,3.324,5617205,2.05
2022-05-27,33784.0,4158.24,9.67,3.211,6026987,2.08
2022-05-26,33847.0,4057.84,9.57,3.239,6939837,2.11
2022-05-25,34130.0,3978.73,9.61,3.173,6897309,2.1
2022-05-24,34311.0,3941.48,9.56,3.216,5546728,2.11
2022-05-23,33706.0,3973.75,9.74,3.257,6017146,2.07
2022-05-20,33325.0,3901.36,9.71,3.247,4773954,2.08
2022-05-19,34169.0,3900.79,9.54,3.307,6200336,2.11
2022-05-18,33715.0,3923.68,9.68,3.32,6529577,2.08
2022-05-17,34033.0,4088.85,9.66,3.289,4095510,2.09
2022-05-16,33212.0,4008.01,9.56,3.291,7553950,2.11
2022-05-13,33222.0,4023.89,9.61,3.216,5388945,2.1
2022-05-12,33393.0,3930.08,9.4,3.167,7282158,2.15
2022-05-11,33491.0,3935.18,9.55,3.273,6706396,2.11
2022-05-10,33930.0,4001.05,9.56,3.403,8104568,2.11
2022-05-09,34189.0,3991.24,9.6,3.413,7336258,2.1
2022-05-06,34619.0,4123.34,9.7,3.437,6226970,2.08
2022-05-04,34550.0,4300.17,9.84,3.462,5694494,2.05
2022-05-03,34277.0,4175.48,9.82,3.408,6131583,2.05
2022-05-02,34189.0,4155.38,9.84,3.372,5974705,2.05
2022-04-29,34033.0,4131.93,10.82,3.245,6417891,2.26
2022-04-28,33770.0,4287.5,10.67,3.168,6788815,2.29
2022-04-27,34227.0,4183.96,10.55,3.163,4591626,2.32
2022-04-26,34266.0,4175.2,10.68,3.195,2990586,2.29
2022-04-25,34713.0,4296.12,10.63,3.21,6988947,2.3
2022-04-22,34983.0,4271.78,10.83,3.347,5390880,2.26
2022-04-21,34911.0,4393.66,10.93,3.29,5938070,2.24
2022-04-20,34636.0,4459.45,10.89,3.315,2916745,2.24
2022-04-19,34357.0,4462.21,10.88,3.363,3143661,2.25
2022-04-18,35069.0,4391.69,10.77,3.352,5731790,2.27
2022-04-14,34521.0,4392.59,10.88,3.223,7719003,2.25
2022-04-13,34511.0,4446.59,10.93,3.284,7092998,2.24
2022-04-12,34617.0,4397.45,10.73,3.314,10013938,2.28
2022-04-11,34800.0,4412.53,10.83,3.298,9322741,2.26
2022-04-08,35026.0,4488.28,10.84,3.167,6617599,2.25
2022-04-07,35329.0,4500.21,10.83,3.132,10631808,2.26
2022-04-06,35729.0,4481.15,10.99,3.134,5436799,2.22
2022-04-05,35353.0,4525.12,11.11,3.08,4664570,2.2
2022-04-04,35546.0,4582.64,11.11,3.072,4826337,2.2
2022-04-01,35560.0,4545.86,11.06,3.007,4235924,2.21
2022-03-31,35695.0,4530.41,11.13,2.969,4677696,2.2
2022-03-30,35459.0,4602.45,11.1,2.885,4545299,2.2
2022-03-29,35137.0,4631.6,11.08,2.972,4389703,2.21
2022-03-28,35551.0,4575.52,11.02,3.028,4264602,2.22
2022-03-25,35315.0,4543.04,11.03,2.868,4505606,2.22
2022-03-24,35450.0,4520.16,11.06,2.855,5972547,2.21
2022-03-23,34935.0,4456.23,11.11,2.832,6356831,2.2
2022-03-22,35474.0,4511.61,11.01,2.833,4700068,2.22
2022-03-21,35122.0,4461.18,10.92,2.741,5781580,2.24
2022-03-18,35276.0,4463.09,11.03,2.737,4542148,2.22
2022-03-17,34540.0,4411.67,11.01,2.704,8600557,2.22
2022-03-16,34371.0,4357.95,10.85,2.765,6086856,2.25
2022-03-15,34506.0,4262.45,10.69,2.759,13729100,2.29
2022-03-14,34574.0,4173.11,10.8,2.738,8996430,2.26
2022-03-11,34655.0,4204.31,10.82,2.7,10374618,2.26
2022-03-10,33986.0,4259.52,10.8,2.726,3544613,2.26
2022-03-08,34655.0,4170.62,10.54,2.722,6616970,2.32
2022-03-07,35628.0,4201.09,10.65,2.707,15545688,2.29
2022-03-04,35421.0,4328.87,10.91,2.662,8091537,2.24
2022-03-03,35257.0,4363.49,11.08,2.647,4240847,2.21
2022-03-02,34747.0,4386.54,10.88,2.613,5272877,2.25
2022-02-28,34906.0,4373.79,10.91,2.675,6800036,2.24
2022-02-25,35079.0,4384.62,10.8,2.671,8498707,2.26
2022-02-24,35637.0,4288.7,10.7,2.622,10869972,2.28
2022-02-23,35339.0,4225.5,10.99,2.724,4841759,2.22
2022-02-22,35637.0,4304.74,10.96,2.717,5289844,2.23
2022-02-18,35897.0,4348.87,11.11,2.728,5671199,2.2
2022-02-17,35536.0,4380.26,11.14,2.708,8478518,2.19
2022-02-16,35474.0,4475.01,11.08,2.701,4394560,2.21
2022-02-15,35493.0,4471.07,10.87,2.71,5541100,2.25
2022-02-14,35859.0,4401.67,10.95,2.707,5694073,2.23
2022-02-11,36104.0,4418.64,11.11,2.749,5007170,2.2
2022-02-10,35714.0,4504.06,11.2,2.686,4845088,2.18
2022-02-09,35608.0,4587.18,11.11,2.689,5039942,2.2
2022-02-08,35623.0,4521.54,10.96,2.734,5122095,2.23
2022-02-07,35329.0,4483.87,10.94,2.637,7392383,2.23
2022-02-04,35498.0,4500.54,11.04,2.619,5837778,2.21
2022-02-03,34169.0,4477.44,10.9,2.568,7132591,2.24
2022-01-28,35233.0,4431.85,10.79,2.586,11580962,2.26
2022-01-27,35377.0,4326.5,10.51,2.612,10851510,2.33
2022-01-26,36045.0,4349.93,10.88,2.573,6126887,2.25
2022-01-25,36444.0,4356.45,10.92,2.576,11833175,2.24
2022-01-24,36617.0,4410.13,11.19,2.538,10686669,2.18
2022-01-21,36756.0,4397.93,11.33,2.54,9522467,2.16
2022-01-20,36766.0,4482.73,11.46,2.557,4811532,2.13
2022-01-19,37424.0,4532.76,11.4,2.536,6025420,2.14
2022-01-18,37871.0,4577.34,11.48,2.553,5970862,2.13
2022-01-14,38419.0,4662.85,11.68,2.453,4405719,2.09
2022-01-13,38006.0,4659.02,11.85,2.397,4347834,2.06
2022-01-12,37698.0,4726.35,11.9,2.428,4498563,2.05
2022-01-11,37885.0,4713.07,11.73,2.485,4473019,2.08
