,date,open,high,low,close,volume
91183,202307180945,34580,34590,34560,34590,46478
91184,202307180950,34590,34600,34570,34570,44710
91185,202307180955,34570,34585,34535,34545,45628
91186,202307181000,34545,34560,34525,34555,41920
91252,202307190905,34610,34635,34535,34550,137464
91253,202307190910,34555,34560,34475,34475,70019
91254,202307190915,34475,34490,34435,34465,39860
91255,202307190920,34475,34505,34470,34505,13580
91256,202307190925,34495,34550,34495,34545,38375
91257,202307190930,34550,34550,34480,34485,18819
91258,202307190935,34485,34570,34480,34535,23771
91259,202307190940,34535,34550,34495,34495,17936
91260,202307190945,34490,34540,34490,34530,17621
91261,202307190950,34525,34535,34470,34480,29580
91262,202307190955,34485,34530,34470,34525,29375
91263,202307191000,34525,34535,34510,34525,81951
91329,202307200905,34156,34236,34151,34186,109346
91330,202307200910,34191,34201,34126,34161,45236
91331,202307200915,34161,34201,34146,34191,44492
91332,202307200920,34196,34251,34176,34241,47117
91333,202307200925,34241,34271,34231,34261,38522
91334,202307200930,34266,34276,34246,34256,14917
91335,202307200935,34251,34291,34236,34286,21172
91336,202307200940,34286,34296,34276,34291,22341
91337,202307200945,34291,34316,34276,34301,71067
91338,202307200950,34306,34316,34301,34311,44655
91339,202307200955,34316,34330,34301,34326,36268
91340,202307201000,34326,34345,34316,34321,56681
91406,202307210905,34026,34046,33926,33951,138345
91407,202307210910,33956,33961,33896,33921,160300
91408,202307210915,33916,33921,33881,33891,47681
91409,202307210920,33891,33891,33842,33857,57749
91410,202307210925,33852,33867,33832,33837,15066
91411,202307210930,33832,33886,33822,33886,45247
91412,202307210935,33886,33886,33842,33867,15858
91413,202307210940,33871,33936,33871,33926,58661
91414,202307210945,33926,33946,33911,33921,44565
91415,202307210950,33921,33941,33906,33916,25683
91416,202307210955,33916,33946,33916,33931,14066
91417,202307211000,33931,33996,33931,33976,39128
91483,202307240905,34291,34291,34171,34186,100855
91484,202307240910,34196,34206,34166,34181,57813
91485,202307240915,34181,34221,34141,34196,43097
91486,202307240920,34201,34246,34181,34246,57805
91487,202307240925,34236,34286,34236,34286,37440
91488,202307240930,34286,34335,34281,34330,59588
91489,202307240935,34326,34465,34326,34435,80162
91490,202307240940,34440,34510,34430,34440,84819
91491,202307240945,34435,34450,34395,34415,61450
91492,202307240950,34410,34415,34385,34390,44457
91493,202307240955,34395,34395,34326,34335,42732
91494,202307241000,34330,34380,34330,34380,17316
91560,202307250905,34605,34685,34590,34590,217827
91561,202307250910,34590,34595,34505,34515,60172
91562,202307250915,34520,34585,34515,34520,57005
91563,202307250920,34525,34525,34485,34515,42270
91564,202307250925,34510,34530,34480,34495,39464
91565,202307250930,34495,34515,34480,34480,53461
91566,202307250935,34480,34500,34460,34485,47332
91567,202307250940,34485,34525,34475,34525,40623
91568,202307250945,34515,34520,34465,34480,33284
91569,202307250950,34480,34515,34475,34480,32374
91570,202307250955,34485,34485,34460,34465,43448
91571,202307251000,34465,34495,34465,34485,45214
91637,202307260905,34580,34645,34475,34475,37771
91638,202307260910,34475,34520,34460,34520,35660
91639,202307260915,34520,34575,34510,34525,28207
91640,202307260920,34525,34525,34445,34445,40028
91641,202307260925,34445,34450,34370,34375,23972
91642,202307260930,34370,34375,34335,34340,20625
91643,202307260935,34340,34365,34311,34321,21855
91644,202307260940,34321,34360,34306,34330,60393
91645,202307260945,34335,34345,34301,34306,23109
91646,202307260950,34306,34316,34266,34276,18463
91647,202307260955,34286,34286,34246,34286,73364
91648,202307261000,34286,34296,34256,34261,52378
91714,202307270905,34256,34311,34191,34191,125707
91715,202307270910,34191,34296,34186,34261,49829
91716,202307270915,34261,34311,34246,34311,35439
91717,202307270920,34311,34311,34231,34231,27928
91718,202307270925,34236,34286,34226,34271,21794
91719,202307270930,34266,34321,34256,34306,14795
91720,202307270935,34306,34330,34281,34291,32231
91721,202307270940,34286,34321,34271,34271,14508
91722,202307270945,34276,34311,34276,34291,18756
91723,202307270950,34291,34340,34291,34321,20894
91724,202307270955,34316,34345,34301,34330,45113
91725,202307271000,34335,34375,34330,34370,23335
91791,202307280905,34415,34490,34320,34320,90640
91792,202307280910,34315,34385,34315,34355,83949
91793,202307280915,34365,34380,34325,34375,50008
91794,202307280920,34370,34415,34335,34395,45712
91795,202307280925,34390,34415,34370,34390,15328
91796,202307280930,34395,34400,34340,34340,17859
91797,202307280935,34350,34405,34335,34375,27232
91798,202307280940,34370,34380,34315,34330,43582
91799,202307280945,34330,34335,34270,34280,28996
91800,202307280950,34280,34325,34255,34300,23434
91801,202307280955,34295,34305,34270,34280,18834
91802,202307281000,34290,34310,34270,34270,16391
91868,202307310905,34685,34740,34665,34690,114028
91869,202307310910,34690,34760,34690,34735,43770
91870,202307310915,34735,34745,34645,34660,51046
91871,202307310920,34660,34715,34615,34705,43172
91872,202307310925,34705,34750,34685,34740,40716
91873,202307310930,34730,34775,34725,34745,21772
91874,202307310935,34740,34765,34735,34765,22336
91875,202307310940,34760,34765,34720,34720,35004
91876,202307310945,34725,34725,34660,34675,28433
91877,202307310950,34670,34705,34655,34685,26793
91878,202307310955,34690,34705,34685,34690,13915
91879,202307311000,34690,34720,34680,34710,23835
91945,202308010905,34720,34780,34715,34780,215077
91946,202308010910,34780,34905,34780,34900,79097
91947,202308010915,34900,34935,34880,34895,67884
91948,202308010920,34885,34945,34885,34935,12470
91949,202308010925,34935,35000,34925,34995,109659
91950,202308010930,34995,35005,34955,34960,42174
91951,202308010935,34965,35000,34955,34960,82006
91952,202308010940,34965,34985,34960,34980,34210
91953,202308010945,34985,35025,34965,35005,33688
91954,202308010950,35005,35030,35000,35005,42442
91955,202308010955,35010,35015,34990,34995,28307
91956,202308011000,35000,35025,34990,35020,27095
92022,202308020905,34975,34995,34905,34925,160137
92023,202308020910,34935,34940,34880,34885,62325
92024,202308020915,34890,34935,34885,34930,44996
92025,202308020920,34935,34985,34935,34965,43278
92026,202308020925,34965,34980,34940,34970,23795
92027,202308020930,34975,35010,34960,35000,20839
92028,202308020935,34995,35015,34985,35005,17736
92029,202308020940,35005,35015,34960,34965,23116
92030,202308020945,34960,35005,34960,34990,18992
92031,202308020950,34980,34980,34950,34975,18360
92032,202308020955,34965,35000,34955,34980,24440
92033,202308021000,34980,34980,34945,34955,14835
92099,202308030905,34450,34555,34410,34425,116569
92100,202308030910,34425,34475,34395,34430,112788
92101,202308030915,34425,34435,34345,34360,63764
92102,202308030920,34365,34365,34290,34310,51823
92103,202308030925,34315,34475,34315,34470,141292
92104,202308030930,34470,34480,34440,34460,65582
92105,202308030935,34460,34475,34410,34455,62613
92106,202308030940,34455,34515,34450,34510,47666
92107,202308030945,34510,34510,34480,34490,14927
92108,202308030950,34500,34505,34455,34460,20757
92109,202308030955,34455,34520,34425,34510,28107
92110,202308031000,34510,34510,34455,34475,22508
92176,202308040905,34275,34275,34200,34255,62425
92177,202308040910,34260,34260,34120,34230,53679
92178,202308040915,34235,34285,34230,34275,74190
92179,202308040920,34270,34275,34195,34265,102393
92180,202308040925,34265,34290,34190,34200,91771
92181,202308040930,34200,34215,34170,34185,19947
92182,202308040935,34180,34220,34140,34150,60032
92183,202308040940,34160,34200,34135,34200,52037
92184,202308040945,34200,34205,34155,34160,50873
92185,202308040950,34150,34230,34150,34180,23758
92186,202308040955,34180,34200,34145,34150,24225
92187,202308041000,34150,34205,34145,34205,9338
92253,202308070905,34040,34085,34000,34060,69981
92254,202308070910,34060,34175,34060,34175,41293
92255,202308070915,34170,34215,34155,34200,33623
92256,202308070920,34195,34270,34180,34265,66323
92257,202308070925,34260,34280,34220,34230,117976
92258,202308070930,34235,34255,34180,34200,44093
92259,202308070935,34195,34235,34170,34180,29580
92260,202308070940,34180,34190,34135,34140,38655
92261,202308070945,34145,34255,34140,34245,46576
92262,202308070950,34255,34255,34205,34215,9539
92263,202308070955,34215,34280,34200,34275,50238
92264,202308071000,34280,34320,34280,34305,31529
92330,202308080905,34250,34290,34210,34250,319213
92331,202308080910,34240,34260,34180,34190,88087
92332,202308080915,34185,34205,34140,34145,51497
92333,202308080920,34145,34145,34070,34090,77992
92334,202308080925,34090,34155,34080,34150,44097
92335,202308080930,34155,34170,34125,34160,19895
92336,202308080935,34160,34200,34150,34175,14777
92337,202308080940,34165,34240,34165,34210,54587
92338,202308080945,34210,34230,34195,34225,20301
92339,202308080950,34230,34230,34195,34220,10723
92340,202308080955,34215,34230,34195,34195,22998
92341,202308081000,34190,34190,34155,34180,13096
92407,202308090905,33900,34015,33895,34000,191649
92408,202308090910,34005,34045,33970,34030,108151
92409,202308090915,34025,34080,34020,34070,121739
92410,202308090920,34070,34105,34060,34095,157398
92411,202308090925,34100,34150,34095,34125,122218
92412,202308090930,34130,34160,34115,34155,50868
92413,202308090935,34155,34200,34155,34165,81199
92414,202308090940,34170,34185,34140,34140,45881
92415,202308090945,34150,34165,34135,34140,39374
92416,202308090950,34145,34175,34145,34150,14894
92417,202308090955,34150,34170,34145,34155,13811
92418,202308091000,34155,34170,34135,34135,20388
92484,202308100905,34005,34080,34005,34025,56492
92485,202308100910,34020,34060,34005,34035,19766
92486,202308100915,34045,34050,34020,34040,16799
92487,202308100920,34045,34090,34015,34045,28699
92488,202308100925,34050,34080,34050,34060,72823
92489,202308100930,34065,34100,34040,34040,50347
92490,202308100935,34040,34040,34015,34020,111152
92491,202308100940,34020,34050,34020,34030,18665
92492,202308100945,34030,34035,34000,34005,10403
92493,202308100950,34010,34040,34005,34015,59113
92494,202308100955,34015,34030,34005,34030,25290
92495,202308101000,34030,34045,34025,34040,158421
92561,202308110905,34175,34300,34160,34295,80706
92562,202308110910,34300,34335,34290,34300,37383
92563,202308110915,34300,34325,34265,34320,35170
92564,202308110920,34320,34370,34310,34355,28963
92565,202308110925,34355,34355,34300,34315,22884
92566,202308110930,34310,34315,34270,34280,35379
92567,202308110935,34275,34290,34220,34245,41330
92568,202308110940,34240,34240,34175,34180,22132
92569,202308110945,34175,34205,34155,34185,46183
92570,202308110950,34175,34190,34170,34170,34549
92571,202308110955,34180,34185,34150,34180,23914
92572,202308111000,34180,34195,34170,34190,34802
92638,202308140905,33890,33955,33875,33890,102756
92639,202308140910,33880,33935,33830,33930,86689
92640,202308140915,33925,33950,33865,33870,39225
92641,202308140920,33865,33910,33845,33910,74315
92642,202308140925,33905,33935,33890,33925,35415
92643,202308140930,33925,33990,33925,33985,27928
92644,202308140935,33985,34000,33965,33965,17022
92645,202308140940,33970,33980,33925,33940,21108
92646,202308140945,33930,33930,33865,33870,61110
92647,202308140950,33880,33885,33840,33850,40760
92648,202308140955,33850,33850,33805,33835,31134
92649,202308141000,33835,33835,33765,33775,41875
92715,202308160905,33435,33435,33360,33420,162995
92716,202308160910,33415,33430,33345,33355,89106
92717,202308160915,33360,33415,33335,33415,57923
92718,202308160920,33415,33440,33390,33430,40355
92719,202308160925,33430,33445,33385,33385,21621
92720,202308160930,33390,33405,33375,33375,15352
92721,202308160935,33375,33400,33335,33345,129618
92722,202308160940,33350,33355,33290,33305,72432
92723,202308160945,33300,33300,33245,33280,50278
92724,202308160950,33280,33285,33255,33285,24980
92725,202308160955,33285,33285,33250,33255,32616
92726,202308161000,33265,33285,33245,33255,33130
92792,202308170905,32980,32995,32910,32955,211741
92793,202308170910,32955,32975,32865,32900,98261
92794,202308170915,32900,32905,32845,32860,94188
92795,202308170920,32860,32870,32760,32770,144947
92796,202308170925,32770,32775,32715,32755,103735
92797,202308170930,32750,32755,32705,32710,112617
92798,202308170935,32715,32725,32655,32720,107878
92799,202308170940,32720,32760,32705,32730,90880
92800,202308170945,32725,32775,32720,32775,81748
92801,202308170950,32775,32795,32730,32795,49592
92802,202308170955,32790,32795,32745,32745,54884
92803,202308171000,32755,32775,32745,32760,57137
92869,202308180905,32700,32765,32655,32745,202196
92870,202308180910,32755,32840,32750,32790,247032
92871,202308180915,32790,32865,32760,32855,161385
92872,202308180920,32845,32870,32810,32870,171369
92873,202308180925,32865,32885,32840,32870,25210
92874,202308180930,32870,32880,32815,32830,72356
92875,202308180935,32835,32870,32815,32820,60644
92876,202308180940,32820,32895,32820,32890,48880
92877,202308180945,32890,32935,32880,32910,73261
92878,202308180950,32915,32950,32915,32945,40944
92879,202308180955,32940,32965,32925,32955,65588
92880,202308181000,32950,32960,32910,32930,39527
92946,202308210905,32985,33065,32985,33035,93620
92947,202308210910,33030,33055,33005,33010,99116
92948,202308210915,33010,33045,32990,33020,42768
92949,202308210920,33010,33045,32995,33035,33092
92950,202308210925,33040,33085,33035,33080,45406
92951,202308210930,33080,33115,33075,33115,24735
92952,202308210935,33115,33125,33090,33115,13962
92953,202308210940,33120,33175,33115,33160,78871
92954,202308210945,33160,33165,33135,33140,22213
92955,202308210950,33145,33155,33125,33125,12862
92956,202308210955,33125,33135,33105,33125,21331
92957,202308211000,33125,33140,33110,33125,12168
93023,202308220905,33135,33270,33135,33265,271793
93024,202308220910,33270,33290,33180,33180,156327
93025,202308220915,33185,33225,33150,33165,58601
93026,202308220920,33170,33210,33150,33150,34772
93027,202308220925,33155,33175,33115,33130,45310
93028,202308220930,33125,33140,33090,33110,43471
93029,202308220935,33115,33145,33075,33080,92721
93030,202308220940,33080,33150,33080,33140,52092
93031,202308220945,33145,33195,33145,33180,100451
93032,202308220950,33185,33215,33180,33180,70630
93033,202308220955,33175,33190,33135,33150,25830
93034,202308221000,33155,33195,33135,33195,30387
93100,202308230905,32905,32930,32860,32900,163087
93101,202308230910,32900,32955,32880,32955,28031
