,date,open,y_pred,y_test,profit_long,profit_short,real_profit_long,real_profit_short,real_profit,cumulative_profit,total_real_profit,kodex_cumulative_return
15,2023-04-12,32990.0,32716.14640682302,32798.0,-0.02330110922027823,-0.006698890779721794,0,0,0,0,0,0.0535826238094228
16,2023-04-13,33418.0,33015.14754010355,33029.0,-0.02705495421319191,-0.002945045786808116,0,0,0,0,0,0.06725141323016937
17,2023-04-14,33320.0,32983.63432771247,33000.0,-0.025095008171894563,-0.004904991828105393,0,0,0,0,0,0.06412164368990503
18,2023-04-17,33369.0,33409.864398004975,33482.0,-0.013775378404957343,-0.01622462159504265,0,0,0,0,0,0.0656865284600372
19,2023-04-18,33280.0,33311.90680084054,33241.0,-0.014041261993974147,-0.015958738006025677,0,0,0,0,0,0.06284418673469494
20,2023-04-19,33207.0,33361.56236616128,33354.0,-0.010345488416259185,-0.01965451158374068,0,0,0,0,0,0.06051282779143685
21,2023-04-20,33148.0,33271.793506276335,33389.0,-0.01126543060587844,-0.018734569394121412,0,0,0,0,0,0.05862857878250227
22,2023-04-21,32946.0,33200.96748657503,33113.0,-0.007261048789685166,-0.022738951210314644,0,0,0,0,0,0.05217742115869206
23,2023-04-24,32906.0,33148.64135334721,33133.0,-0.00762622763790156,-0.022373772362098338,0,0,0,0,0,0.050899964203482195
24,2023-04-25,32390.0,32941.78995696483,32965.0,0.0020358121940361328,-0.03203581219403615,0,0,0,0,0,0.034420769481273705
25,2023-04-26,32400.0,32902.53975823836,32941.0,0.0005104863653814615,-0.03051048636538146,0,0,0,0,0,0.034740133720076116
26,2023-04-27,32664.0,32390.47814630134,32419.0,-0.023373801546003565,-0.006626198453996383,0,0,0,0,0,0.04317134962446212
27,2023-04-28,32649.0,32399.218014414357,32330.0,-0.022650524842587418,-0.007349475157412396,0,0,0,0,0,0.04269230326625828
28,2023-05-02,32654.0,32667.131084512144,32654.0,-0.014597872097992692,-0.015402127902007276,0,0,0,0,0,0.042851985385659486
29,2023-05-03,32485.0,32656.07656776964,32729.0,-0.009733674995547306,-0.02026632500445256,0,0,0,0,0,0.0374547297498975
30,2023-05-04,32849.0,32655.383826902085,32649.0,-0.020894126856157207,-0.009105873143842608,0,0,0,0,0,0.049079588042308275
31,2023-05-08,32839.0,32494.808975030443,32499.0,-0.02548116644750317,-0.0045188335524967765,0,0,0,0,0,0.04876022380350564
32,2023-05-09,32789.0,32854.49410473917,32864.0,-0.013002558640422998,-0.016997441359576947,0,0,0,0,0,0.047163402609493366
33,2023-05-10,32709.0,32845.513211153215,32814.0,-0.010826432750826377,-0.019173567249173525,0,0,0,0,0,0.04460848869907341
34,2023-05-11,32385.0,32792.16564477424,32674.0,-0.00242733843525557,-0.027572661564744295,0,0,0,0,0,0.03426108736187272
35,2023-05-12,32280.0,32712.62992234698,32734.0,-0.001597586048730406,-0.028402413951269526,0,0,0,0,0,0.03090776285444652
36,2023-05-15,32649.0,32391.73062940664,32385.0,-0.02287985453132877,-0.007120145468671041,0,0,0,0,0,0.0426923032662585
