,date,volume
332,20200213,220437
333,20200214,240695
334,20200217,195246
335,20200218,302192
336,20200219,226016
337,20200220,244271
338,20200221,460272
339,20200224,535672
340,20200225,420756
341,20200226,769959
342,20200227,1321690
343,20200228,1197056
344,20200302,300611
345,20200303,890398
346,20200304,352927
347,20200305,588067
348,20200306,288606
349,20200309,473697
350,20200310,618381
351,20200311,475450
352,20200312,802891
353,20200313,1030438
354,20200316,661089
355,20200317,853277
356,20200318,1301749
357,20200319,1591088
358,20200320,1752920
359,20200323,836586
360,20200324,1142670
361,20200325,2079261
362,20200326,832780
363,20200327,833115
364,20200330,674427
365,20200331,769405
366,20200401,498527
367,20200402,859699
368,20200403,689504
369,20200406,483734
370,20200407,959103
371,20200408,676884
372,20200409,737681
373,20200410,774292
374,20200413,496187
375,20200414,633957
376,20200416,323492
377,20200417,903055
378,20200420,368796
379,20200421,592203
380,20200422,713044
381,20200423,980745
382,20200424,355270
383,20200427,399930
384,20200428,427258
385,20200429,417636
386,20200504,697034
387,20200506,569592
388,20200507,294752
389,20200508,405996
390,20200511,381814
391,20200512,316308
392,20200513,620448
393,20200514,477548
394,20200515,373625
395,20200518,400171
396,20200519,852428
397,20200520,399741
398,20200521,364435
399,20200522,545771
400,20200525,446932
401,20200526,358641
402,20200527,463848
403,20200528,450133
404,20200529,485932
405,20200601,519324
406,20200602,382357
407,20200603,632465
408,20200604,1054244
409,20200605,892455
410,20200608,778734
411,20200609,689813
412,20200610,478500
413,20200611,251609
414,20200612,762933
415,20200615,960263
416,20200616,1335389
417,20200617,643857
418,20200618,516498
419,20200619,798718
420,20200622,462157
421,20200623,570684
422,20200624,438237
423,20200625,752510
424,20200626,2262819
425,20200629,614450
426,20200630,1167616
427,20200701,376608
428,20200702,478820
429,20200703,232270
430,20200706,285054
431,20200707,682173
432,20200708,302955
433,20200709,326026
434,20200710,346822
435,20200713,347828
436,20200714,311039
437,20200715,472139
438,20200716,407098
439,20200717,332297
440,20200720,273873
441,20200721,542970
442,20200722,254512
443,20200723,434164
444,20200724,162347
445,20200727,444878
446,20200728,497800
447,20200729,711341
448,20200730,378065
449,20200731,559438
450,20200803,399993
451,20200804,330242
452,20200805,282708
453,20200806,613809
454,20200807,699737
455,20200810,1429993
456,20200811,657027
457,20200812,589328
458,20200813,590671
459,20200814,489437
460,20200818,545982
461,20200819,430889
462,20200820,282400
463,20200821,629935
464,20200824,582332
465,20200825,477810
466,20200826,291588
467,20200827,316334
468,20200828,388974
469,20200831,265931
470,20200901,414696
471,20200902,221747
472,20200903,477204
473,20200904,446323
474,20200907,449448
475,20200908,309666
476,20200909,339612
477,20200910,256007
478,20200911,538199
479,20200914,413106
480,20200915,961704
481,20200916,623272
482,20200917,360829
483,20200918,462243
484,20200921,249980
485,20200922,381397
486,20200923,610976
487,20200924,572388
488,20200925,576650
489,20200928,244142
490,20200929,571619
491,20201005,690615
492,20201006,413511
493,20201007,288561
494,20201008,514637
495,20201012,470136
496,20201013,690497
497,20201014,342576
498,20201015,304657
499,20201016,244883
500,20201019,510995
501,20201020,491542
502,20201021,716657
503,20201022,342319
504,20201023,393036
505,20201026,590276
506,20201027,443233
507,20201028,412220
508,20201029,492464
509,20201030,868971
510,20201102,523434
511,20201103,269380
512,20201104,551457
513,20201105,714040
514,20201106,432059
515,20201109,803145
516,20201110,942856
517,20201111,711354
518,20201112,675066
519,20201113,452126
520,20201116,930873
521,20201117,566896
522,20201118,606511
523,20201119,742094
524,20201120,520325
525,20201123,362967
526,20201124,555739
527,20201125,768570
528,20201126,610758
529,20201127,593247
530,20201130,878301
531,20201201,478252
532,20201202,669757
533,20201204,1031352
534,20201207,1098472
535,20201208,708554
536,20201209,1060076
537,20201210,356085
538,20201211,1539558
539,20201214,452526
540,20201215,474168
541,20201216,425733
542,20201217,484794
543,20201218,642945
544,20201221,367793
545,20201222,299454
546,20201223,517684
547,20201224,585839
548,20201228,1029572
549,20201229,1311954
550,20201230,612598
551,20210105,590468
552,20210106,776447
553,20210107,525240
554,20210108,750323
555,20210111,934345
556,20210112,1112157
557,20210113,1005862
558,20210114,858671
559,20210115,1360774
560,20210118,1295051
561,20210119,820849
562,20210120,760614
563,20210121,868714
564,20210122,643001
565,20210125,590503
566,20210126,567219
567,20210127,581706
568,20210128,621804
569,20210129,859217
570,20210201,585417
571,20210202,742710
572,20210203,618060
573,20210204,749742
574,20210205,967241
575,20210208,410676
576,20210209,577658
577,20210210,269544
578,20210215,651387
579,20210216,569918
580,20210217,1464858
581,20210218,581524
582,20210219,577673
583,20210222,482486
584,20210223,613783
585,20210224,422567
586,20210225,737568
587,20210226,567080
588,20210302,660330
589,20210303,267853
590,20210304,319301
591,20210305,438733
592,20210308,531805
593,20210309,290987
594,20210310,465723
595,20210311,410125
596,20210312,598287
597,20210315,407201
598,20210316,316486
599,20210317,192039
600,20210318,827651
601,20210319,254053
602,20210322,212965
603,20210323,297539
604,20210324,346322
605,20210325,313743
606,20210326,439013
607,20210329,357021
608,20210330,285057
609,20210331,193946
610,20210401,382602
611,20210402,471282
612,20210405,268054
613,20210406,270962
614,20210407,224715
615,20210408,426195
616,20210409,402536
617,20210412,309163
618,20210413,328954
619,20210414,184521
620,20210415,171878
621,20210416,303264
622,20210419,215194
623,20210420,212293
624,20210421,280558
625,20210422,446137
626,20210423,319616
627,20210426,182596
628,20210427,94758
629,20210428,101848
630,20210429,167879
631,20210430,178958
632,20210503,217179
633,20210504,226518
634,20210506,146906
635,20210507,277306
636,20210510,140377
637,20210511,211317
638,20210512,157917
639,20210513,399847
640,20210514,401220
641,20210517,259918
642,20210518,221694
643,20210520,201190
644,20210521,400239
645,20210524,309662
646,20210525,383093
647,20210526,280661
648,20210527,170412
649,20210528,295687
650,20210531,218650
651,20210601,136365
652,20210602,212085
653,20210603,304863
654,20210604,226975
655,20210607,257731
656,20210608,149470
657,20210609,220439
658,20210610,159050
659,20210611,337617
660,20210614,181592
661,20210615,104830
662,20210616,245651
663,20210617,194405
664,20210618,295083
665,20210621,187942
666,20210622,303588
667,20210623,391004
668,20210624,139047
669,20210625,242441
670,20210628,275234
671,20210629,166856
672,20210630,287429
673,20210701,219612
674,20210702,142560
675,20210705,177884
676,20210706,130073
677,20210707,231370
678,20210708,164576
679,20210709,412131
680,20210712,304522
681,20210713,282192
682,20210714,195939
683,20210715,89346
684,20210716,206654
685,20210719,273985
686,20210720,346890
687,20210721,187749
688,20210722,327038
689,20210723,144774
690,20210726,243613
691,20210727,222617
692,20210728,191147
693,20210729,531765
694,20210730,263932
695,20210802,287393
696,20210803,182468
697,20210804,314217
698,20210805,201004
699,20210806,211393
700,20210809,255736
701,20210810,180512
702,20210811,248733
703,20210812,211690
704,20210813,333064
705,20210817,194121
706,20210818,196383
707,20210819,398326
708,20210820,263832
709,20210823,278596
710,20210824,365299
711,20210825,249832
712,20210826,184898
713,20210827,201525
714,20210830,361452
715,20210831,188954
716,20210901,215233
717,20210902,111708
718,20210903,282144
719,20210906,161431
720,20210907,151386
721,20210908,144401
722,20210909,154524
723,20210910,238022
724,20210913,185974
725,20210914,214176
726,20210915,144858
727,20210916,240862
728,20210917,292693
729,20210923,190887
730,20210924,242682
731,20210927,128121
732,20210928,183580
733,20210929,372072
734,20210930,481987
735,20211001,197060
736,20211005,492353
737,20211006,371010
738,20211007,342220
739,20211008,313274
740,20211012,225140
741,20211013,232400
742,20211014,178283
743,20211015,413395
744,20211018,229855
745,20211019,227286
746,20211020,200776
747,20211021,194886
748,20211022,149245
749,20211025,159315
750,20211026,188421
751,20211027,125394
752,20211028,157914
753,20211029,195137
754,20211101,224774
755,20211102,380342
756,20211103,252996
757,20211104,428702
758,20211105,591074
759,20211108,253416
760,20211109,432325
761,20211110,225243
762,20211111,268716
763,20211112,321009
764,20211115,230446
765,20211116,157269
766,20211117,152855
767,20211119,413315
768,20211122,379869
769,20211123,242489
770,20211124,242858
771,20211125,155668
772,20211126,190155
773,20211129,364924
774,20211130,345480
775,20211201,453042
776,20211202,354878
777,20211203,322434
778,20211206,375563
779,20211207,518660
780,20211208,434175
781,20211209,215667
782,20211210,211812
783,20211213,203344
784,20211214,246620
785,20211215,194309
786,20211216,372791
787,20211217,209929
788,20211220,216581
789,20211221,378141
790,20211222,264969
791,20211223,212568
792,20211224,202802
793,20211227,153483
794,20211228,255702
795,20211229,468873
796,20211230,244431
797,20220104,304789
798,20220105,170402
799,20220106,173621
800,20220107,548540
801,20220110,253566
802,20220111,215244
803,20220112,250510
804,20220113,180225
805,20220114,230747
806,20220117,391717
807,20220118,175893
808,20220119,272612
809,20220120,161083
810,20220121,435989
811,20220124,226259
812,20220125,740022
813,20220126,394975
814,20220127,70144
815,20220128,494363
816,20220203,573059
817,20220204,251118
818,20220207,248404
819,20220208,213889
820,20220209,360116
821,20220210,278012
