,date,y_volume_1335
33900,20200714,52769
33977,20200715,53261
34054,20200716,106956
34131,20200717,61832
34208,20200720,31514
34285,20200721,96895
34362,20200722,49300
34439,20200723,37351
34516,20200724,38520
34593,20200727,33432
34670,20200728,6971
34747,20200729,94297
34824,20200730,68564
34901,20200731,60964
34978,20200803,35170
35055,20200804,138519
35132,20200805,33431
35209,20200806,29517
35286,20200807,88426
35363,20200810,74677
35440,20200811,57785
35517,20200812,31127
35594,20200813,41541
35671,20200814,103048
35748,20200818,39360
35825,20200819,24936
35902,20200820,68528
35979,20200821,59452
36056,20200824,53211
36133,20200825,84088
36210,20200826,17486
36287,20200827,17570
36364,20200828,72915
36441,20200831,155741
36518,20200901,13613
36595,20200902,28637
36672,20200903,48899
36749,20200904,29157
36826,20200907,15659
36903,20200908,136718
36980,20200909,41688
37057,20200910,120901
37134,20200911,12165
37211,20200914,23932
37288,20200915,32073
37365,20200916,43015
37442,20200917,25416
37519,20200918,133033
37596,20200921,102564
37673,20200922,202563
37750,20200923,249298
37827,20200924,400893
37904,20200925,129781
37981,20200928,21592
38058,20200929,13869
38135,20201005,97180
38212,20201006,34795
38289,20201007,39098
38366,20201008,40572
38443,20201012,68087
38520,20201013,79729
38597,20201014,18520
38674,20201015,68284
38751,20201016,80045
38828,20201019,30455
38905,20201020,68100
38982,20201021,60805
39059,20201022,214308
39136,20201023,25211
39213,20201026,91581
39290,20201027,105728
39367,20201028,20225
39444,20201029,54266
39521,20201030,387992
39598,20201102,90238
39675,20201103,72175
39752,20201104,143348
39829,20201105,35718
39906,20201106,53225
39983,20201109,75597
40060,20201110,205262
40137,20201111,78764
40214,20201112,65193
40291,20201113,102487
40368,20201116,62727
40445,20201117,77697
40522,20201118,64441
40599,20201119,26141
40676,20201120,50052
40753,20201123,23960
40830,20201124,109276
40907,20201125,50824
40984,20201126,67521
41061,20201127,43870
41138,20201130,120803
41215,20201201,97216
41292,20201202,29730
41357,20201203,144964
41446,20201204,36384
41523,20201207,206401
41600,20201208,117229
41677,20201209,144940
41754,20201210,178933
41831,20201211,79954
41908,20201214,175380
41985,20201215,259318
42062,20201216,139101
42139,20201217,58139
42216,20201218,47236
42293,20201221,78420
42370,20201222,77685
42447,20201223,121282
42524,20201224,87977
42601,20201228,90954
42678,20201229,146446
42755,20201230,474635
42820,20210104,84405
42897,20210105,48099
42974,20210106,94835
43051,20210107,92773
43128,20210108,98290
43205,20210111,123724
43282,20210112,458412
43359,20210113,30231
43436,20210114,31331
43513,20210115,66480
43590,20210118,164183
43667,20210119,158783
43744,20210120,162476
43821,20210121,101030
43898,20210122,15130
43975,20210125,38589
44052,20210126,313153
44129,20210127,119647
44206,20210128,62861
44283,20210129,119706
44360,20210201,82440
44437,20210202,112286
44514,20210203,105572
44591,20210204,612456
44668,20210205,137776
44745,20210208,81101
44822,20210209,29452
44899,20210210,37524
44976,20210215,23092
45053,20210216,53316
45130,20210217,182743
45207,20210218,155665
45284,20210219,59938
45361,20210222,53084
45438,20210223,94249
45515,20210224,128073
45592,20210225,40948
45669,20210226,136736
45746,20210302,32071
45823,20210303,146177
45900,20210304,60814
45977,20210305,81197
46054,20210308,45826
46131,20210309,106556
46208,20210310,188266
46285,20210311,38903
46362,20210312,58944
46439,20210315,96033
46516,20210316,31047
46593,20210317,51083
46670,20210318,83066
46747,20210319,118139
46824,20210322,27896
46901,20210323,35018
46978,20210324,32424
47055,20210325,30264
47132,20210326,28032
47209,20210329,39495
47286,20210330,24462
47363,20210331,79034
47440,20210401,31807
47517,20210402,36219
47594,20210405,24611
47671,20210406,18700
47748,20210407,50944
47825,20210408,22458
47902,20210409,67246
47979,20210412,10332
48056,20210413,38480
48133,20210414,25927
48210,20210415,33602
48287,20210416,45910
48364,20210419,41441
48441,20210420,7758
48518,20210421,60062
48595,20210422,92263
48672,20210423,24879
48749,20210426,41989
48826,20210427,19894
48903,20210428,18668
48980,20210429,28513
49057,20210430,72391
49134,20210503,19189
49211,20210504,16153
49288,20210506,16614
49365,20210507,106821
49442,20210510,109328
49519,20210511,33418
49596,20210512,65756
49673,20210513,62544
49750,20210514,65426
49827,20210517,31125
49904,20210518,16423
49981,20210520,51458
50058,20210521,59230
50135,20210524,33821
50212,20210525,20497
50289,20210526,21208
50366,20210527,65703
50443,20210528,41423
50520,20210531,52233
50597,20210601,29022
50674,20210602,20466
50751,20210603,66142
50828,20210604,30389
50905,20210607,51798
50982,20210608,44318
51059,20210609,43554
51136,20210610,55427
51213,20210611,17292
51290,20210614,29204
51367,20210615,7992
51444,20210616,21246
51521,20210617,17138
51598,20210618,32552
51675,20210621,32994
51752,20210622,15960
51829,20210623,14592
51906,20210624,7125
51983,20210625,38247
52060,20210628,13842
52137,20210629,84216
52214,20210630,7524
52291,20210701,81839
52368,20210702,4520
52445,20210705,41415
52522,20210706,29629
52599,20210707,21975
52676,20210708,12918
52753,20210709,113733
52830,20210712,34857
52907,20210713,11170
52984,20210714,16815
53061,20210715,9532
53138,20210716,21070
53215,20210719,26552
53292,20210720,68090
53369,20210721,32673
53446,20210722,36004
53523,20210723,22029
53600,20210726,87103
53677,20210727,22474
53754,20210728,50595
53831,20210729,10642
53908,20210730,29979
53985,20210802,48413
54062,20210803,32440
54139,20210804,17717
54216,20210805,17864
54293,20210806,29794
54370,20210809,38431
54447,20210810,24304
54524,20210811,54832
54601,20210812,122286
54678,20210813,32552
54755,20210817,71624
54832,20210818,16809
54909,20210819,43715
54986,20210820,105415
55063,20210823,29283
55140,20210824,40535
55217,20210825,40757
55294,20210826,27127
55371,20210827,32100
55448,20210830,64247
55525,20210831,11698
55602,20210901,28492
55679,20210902,72043
55756,20210903,15151
55833,20210906,118839
55910,20210907,26473
55987,20210908,27572
56064,20210909,48627
56141,20210910,19471
56218,20210913,41335
56295,20210914,39032
56372,20210915,32415
56449,20210916,54814
56526,20210917,17690
56603,20210923,71839
56680,20210924,68236
56757,20210927,54995
56834,20210928,27708
56911,20210929,86598
56988,20210930,48600
57065,20211001,42306
57142,20211005,65203
57219,20211006,102538
57296,20211007,47038
57373,20211008,19946
57450,20211012,20816
57527,20211013,39624
57604,20211014,17225
57681,20211015,14805
57758,20211018,5527
57835,20211019,8390
57912,20211020,11190
57989,20211021,25477
58066,20211022,10016
58143,20211025,52012
58220,20211026,26995
58297,20211027,47999
58374,20211028,9624
58451,20211029,19813
58528,20211101,25801
58605,20211102,16507
58682,20211103,54503
58759,20211104,17925
58836,20211105,17912
58913,20211108,35619
58990,20211109,32370
59067,20211110,34578
59144,20211111,8091
59221,20211112,42118
59298,20211115,14649
59375,20211116,91170
59452,20211117,8984
59517,20211118,37915
59606,20211119,24449
59683,20211122,41904
59760,20211123,16504
59837,20211124,8071
59914,20211125,5441
59991,20211126,46809
60068,20211129,19800
60145,20211130,38605
60222,20211201,66796
60299,20211202,10864
60376,20211203,27483
60453,20211206,65142
60530,20211207,19845
60607,20211208,74514
60684,20211209,15522
60761,20211210,25578
60838,20211213,56903
60915,20211214,31384
60992,20211215,32210
61069,20211216,16898
61146,20211217,43280
61223,20211220,44298
61300,20211221,43614
61377,20211222,41795
61454,20211223,44174
61531,20211224,36967
61608,20211227,17506
61685,20211228,140348
61762,20211229,12288
61839,20211230,59060
61904,20220103,20468
61981,20220104,77804
62058,20220105,98651
62135,20220106,162370
62212,20220107,12567
62289,20220110,31826
62366,20220111,16811
62443,20220112,61852
62520,20220113,26349
62597,20220114,16329
62674,20220117,60455
62751,20220118,60876
62828,20220119,56182
62905,20220120,79685
62982,20220121,65322
63059,20220124,15921
63136,20220125,141467
63213,20220126,29251
63290,20220127,61400
63367,20220128,103658
63444,20220203,28371
63521,20220204,74397
63598,20220207,46917
63675,20220208,21803
63752,20220209,20835
63829,20220210,34135
63906,20220211,22676
63983,20220214,26079
64060,20220215,59158
64137,20220216,15296
64214,20220217,110713
64291,20220218,16824
64368,20220221,33815
64445,20220222,56983
64522,20220223,37636
64599,20220224,107979
64676,20220225,29989
64753,20220228,22225
64830,20220302,71713
64907,20220303,35900
64984,20220304,35545
65061,20220307,104575
65138,20220308,68810
65215,20220310,19243
65292,20220311,43040
65369,20220314,14908
65446,20220315,34450
65523,20220316,12664
65600,20220317,60420
65677,20220318,17994
65754,20220321,29639
65831,20220322,16783
65908,20220323,24385
65985,20220324,9143
66062,20220325,41574
66139,20220328,55701
66216,20220329,36314
66293,20220330,17185
66370,20220331,35097
66447,20220401,8354
66524,20220404,13091
66601,20220405,14315
66678,20220406,20198
66755,20220407,54841
66832,20220408,28792
66909,20220411,37752
66986,20220412,18586
67063,20220413,7119
67140,20220414,17956
67217,20220415,33826
67294,20220418,12395
67371,20220419,7528
67448,20220420,11641
67525,20220421,17163
67602,20220422,106038
67679,20220425,7289
67756,20220426,7469
67833,20220427,13170
67910,20220428,60301
67987,20220429,24268
68064,20220502,15837
68141,20220503,74245
68218,20220504,28888
68295,20220506,19926
68372,20220509,20697
68449,20220510,41633
68526,20220511,38076
68603,20220512,38036
68680,20220513,13789
68757,20220516,6162
68834,20220517,16314
68911,20220518,58423
68988,20220519,21948
69065,20220520,28949
69142,20220523,35128
69219,20220524,35745
69296,20220525,14895
69373,20220526,25205
69450,20220527,21942
69527,20220530,3934
69604,20220531,24487
69681,20220602,18587
69758,20220603,42011
69835,20220607,39794
69912,20220608,38733
69989,20220609,26040
70066,20220610,95457
