,date,open
353,20200313,21776
354,20200316,22298
355,20200317,21120
356,20200318,21457
357,20200319,20202
358,20200320,19200
359,20200323,18909
360,20200324,19357
361,20200325,21324
362,20200326,22016
363,20200327,22279
364,20200330,21397
365,20200331,22067
366,20200401,22076
367,20200402,21240
368,20200403,21933
369,20200406,22030
370,20200407,23193
371,20200408,22852
372,20200409,23055
373,20200410,22944
374,20200413,23078
375,20200414,22976
376,20200416,23069
377,20200417,23839
378,20200420,23863
379,20200421,23429
380,20200422,23027
381,20200423,23715
382,20200424,23655
383,20200427,23599
384,20200428,24073
385,20200429,24082
386,20200504,23570
387,20200506,23796
388,20200507,23814
389,20200508,24152
390,20200511,24270
391,20200512,23768
392,20200513,23533
393,20200514,23692
394,20200515,23885
395,20200518,23796
396,20200519,24547
397,20200520,24608
398,20200521,24805
399,20200522,24687
400,20200525,24420
401,20200526,24763
402,20200527,24960
403,20200528,25284
404,20200529,25007
405,20200601,25340
406,20200602,25715
407,20200603,26368
408,20200604,27363
409,20200605,26964
410,20200608,27518
411,20200609,27640
412,20200610,27311
413,20200611,27170
414,20200612,26063
415,20200615,26138
416,20200616,25795
417,20200617,26509
418,20200618,26293
419,20200619,26297
420,20200622,26415
421,20200623,26738
422,20200624,26673
423,20200625,26438
424,20200626,26410
425,20200629,26208
426,20200630,26480
427,20200701,26584
428,20200702,26537
429,20200703,26706
430,20200706,26983
431,20200707,27504
432,20200708,27029
433,20200709,27081
434,20200710,26922
435,20200713,26983
436,20200714,27123
437,20200715,27668
438,20200716,27480
439,20200717,27386
440,20200720,27438
441,20200721,27649
442,20200722,27719
443,20200723,27532
444,20200724,27349
445,20200727,27522
446,20200728,28006
447,20200729,28240
448,20200730,28518
449,20200731,28344
450,20200803,28024
451,20200804,28424
452,20200805,28499
453,20200806,29105
454,20200807,29388
455,20200810,29392
456,20200811,29975
457,20200812,30192
458,20200813,30610
459,20200814,30300
460,20200818,30079
461,20200819,29703
462,20200820,29284
463,20200821,28800
464,20200824,28776
465,20200825,29232
466,20200826,29533
467,20200827,29519
468,20200828,29392
469,20200831,29641
470,20200901,29096
471,20200902,29279
472,20200903,29651
473,20200904,29190
474,20200907,29251
475,20200908,29656
476,20200909,29482
477,20200910,29787
478,20200911,29651
479,20200914,29966
480,20200915,30187
481,20200916,30314
482,20200917,30074
483,20200918,29956
484,20200921,29975
485,20200922,29571
486,20200923,29105
487,20200924,28687
488,20200925,28574
489,20200928,28795
490,20200929,29185
491,20201005,29246
492,20201006,29768
493,20201007,29449
494,20201008,30065
495,20201012,30022
496,20201013,30168
497,20201014,30069
498,20201015,29698
499,20201016,29627
500,20201019,29613
501,20201020,29463
502,20201021,29731
503,20201022,29439
504,20201023,29566
505,20201026,29754
506,20201027,29406
507,20201028,29242
508,20201029,29157
509,20201030,28987
510,20201102,28502
511,20201103,29086
512,20201104,29651
513,20201105,29957
514,20201106,30494
515,20201109,30612
516,20201110,30654
517,20201111,30880
518,20201112,31064
519,20201113,31097
520,20201116,31667
521,20201117,32029
522,20201118,32006
523,20201119,31841
524,20201120,31987
525,20201123,32222
526,20201124,32872
527,20201125,33174
528,20201126,32726
529,20201127,33122
530,20201130,33193
531,20201201,33094
532,20201202,33588
533,20201204,34441
534,20201207,34704
535,20201208,34634
536,20201209,34544
537,20201210,34516
538,20201211,35029
539,20201214,35119
540,20201215,34789
541,20201216,35119
542,20201217,34973
543,20201218,35053
544,20201221,34949
