,date,y_volume_0905,y_volume_0910,y_volume_0915,y_volume_0920,y_volume_0925,y_volume_0930,y_volume_0935,y_volume_0940,y_volume_0945,y_volume_0950,y_volume_0955,y_volume_1000,y_volume_1005,y_volume_1010,y_volume_1015,y_volume_1020,y_volume_1025,y_volume_1030,y_volume_1035,y_volume_1040,y_volume_1045,y_volume_1050,y_volume_1055,y_volume_1100,y_volume_1105,y_volume_1110,y_volume_1115,y_volume_1120,y_volume_1125,y_volume_1130,y_volume_1135,y_volume_1140,y_volume_1145,y_volume_1150,y_volume_1155,y_volume_1200,y_volume_1205,y_volume_1210,y_volume_1215,y_volume_1220,y_volume_1225,y_volume_1230,y_volume_1235,y_volume_1240,y_volume_1245,y_volume_1250,y_volume_1255,y_volume_1300,y_volume_1305,y_volume_1310,y_volume_1315,y_volume_1320,y_volume_1325,y_volume_1330,y_volume_1335,y_volume_1340,y_volume_1345,y_volume_1350,y_volume_1355,y_volume_1400,y_volume_1405,y_volume_1410,y_volume_1415,y_volume_1420,y_volume_1425,y_volume_1430,y_volume_1435,y_volume_1440,y_volume_1445,y_volume_1450,y_volume_1455,y_volume_1500,y_volume_1505,y_volume_1510,y_volume_1515,y_volume_1520,y_volume_1530
33,20181120,238260,165268,154243,353002,55049,305520,95657,56177,40694,43129,74107,33061,118983,63199,59797,67342,54129,72841,105466,95012,49938,10562,12362,26116,70773,41259,17229,106471,60011,20111,36367,30873,35336,22355,18106,14392,17140,4952,24636,181590,251131,35579,35271,132633,1484,1326,21417,7967,5511,12555,81049,291490,297411,132610,28412,15448,29315,155804,65223,224443,47039,65247,217939,26952,37392,35673,33972,20759,25297,25710,33909,77106,76280,95821,159518,79757,46047
34,20181121,653823,318006,68849,67368,6580,267321,230706,56732,24468,82145,27758,32140,13062,16713,53872,8496,42036,40680,89870,112659,297542,17262,58216,28971,24662,26876,20690,12731,102956,25063,27231,4730,12097,4891,9892,21178,40193,11034,7143,47792,10659,7891,9217,11213,21735,18824,10619,71997,5108,19510,24623,14508,5996,13324,12447,6391,4160,8581,29021,13604,124975,62873,24380,28554,29402,75725,145534,266008,70827,38819,68271,38553,53571,37263,52322,26189,82131
35,20181122,96933,61676,94785,12990,10059,14167,146701,11941,75743,40616,127946,9709,16101,130075,112826,37064,28766,4386,36660,48065,71804,47541,12708,17307,68346,130851,77459,46233,35375,32999,37358,40451,43991,28917,17872,24431,70158,26561,5073,18985,5506,5812,11654,14903,146118,16218,37609,38271,22409,117318,54873,77752,19524,9761,78915,26602,23821,4625,171151,32546,22858,92096,32269,98476,117968,35674,53030,106763,94416,97936,45271,178271,278062,122485,68689,34425,170636
36,20181123,112183,40489,23036,56209,42429,76004,70543,57551,98996,122520,105004,64964,55591,28905,44374,95450,37154,53346,64347,78292,140023,237322,88943,88763,93132,228306,118910,50565,29665,15405,24205,16693,18769,5635,82877,16087,34433,15364,14966,3828,19705,1517,28438,9064,19350,6647,8540,6700,8623,1972,6839,4597,5661,14094,6788,12068,59946,28856,25691,8526,28612,8098,20314,23247,7298,43480,29270,39699,16378,24873,66073,29701,63140,53768,66407,48029,54220
37,20181126,97681,97645,12183,86769,19809,20063,214202,32793,29402,120004,89844,72439,133033,151669,87973,87466,206246,39418,216956,140876,149537,126492,63770,10721,41546,47116,8422,6707,14602,8679,3484,17908,10618,113206,2300,16470,84943,24410,58169,19524,49254,3922,17153,13961,30422,35842,11397,8960,29092,1626,58287,172947,5744,77732,9292,7197,43815,34917,9356,31254,47083,24087,58774,20595,38213,34853,34514,36012,45885,26663,31379,20829,13654,8117,7862,36988,115764
38,20181127,271758,69369,211107,25673,24757,20268,57067,78559,154986,77633,48090,68110,66961,13830,16199,218415,39428,18241,17695,20008,42679,23558,15930,29146,34452,11144,43841,30562,10475,6174,6297,24489,3939,18637,5366,12976,7721,21724,12359,9551,7657,31894,7112,16772,24896,47081,39394,33476,6254,32209,8180,65842,50815,12886,34491,205436,136031,82670,79111,75345,89496,94323,136927,35635,32970,94723,22412,103601,124648,56662,32149,46738,24237,31267,48413,20253,53874
39,20181128,71277,34189,20706,28306,30166,20761,18265,11465,11792,9442,43988,37738,42060,8553,18323,23249,3933,18079,183908,23113,44201,15491,30915,40113,92185,36374,119251,24675,12256,73277,23466,62217,37246,9117,141864,38102,5424,9297,9136,3081,16483,11751,10709,19757,7186,19043,18123,3908,5542,5072,17244,9615,27225,61546,9696,14166,21780,10839,4316,52244,47992,49099,49244,74345,51978,54512,96134,48348,56665,48443,51870,68458,50135,67176,102329,48741,36697
40,20181129,248357,132214,88994,21556,29649,23150,34611,12410,24765,24719,32795,30860,128470,35294,44560,48521,51793,16721,25242,20494,35042,9812,25393,118557,53375,40504,105625,17208,9316,30721,23427,16345,11450,8561,12965,16283,62750,21863,9891,6086,10343,16122,7927,26534,25432,13192,4932,39943,19136,6240,16907,6933,5135,5547,49686,6774,37368,25893,21664,21737,38358,52811,32283,65602,43218,80069,90675,67782,37618,29040,39079,37045,31044,45604,60536,76938,156499
41,20181130,61104,18364,107826,23656,78850,25265,178169,55646,44613,26051,32925,10756,59250,38945,22019,54186,117816,37355,79248,103100,67752,89087,38405,28743,44819,28168,46294,33813,50241,28079,11857,9832,11014,27915,14720,8382,10874,12640,12877,7380,19268,21221,5243,2767,6236,5078,2981,11786,13343,16163,12793,28313,4785,5252,16368,22137,10119,45766,15014,22829,12907,6714,33687,33016,22833,36806,33054,25313,111151,61557,172541,39323,54779,39238,45856,77177,85271
42,20181203,489914,674027,363437,200821,100021,25768,83331,230838,24355,16974,14432,14561,49747,172107,87328,150092,51447,27707,82716,150803,61008,121018,96125,27073,80520,68592,33244,82248,46439,37014,22751,46756,16213,7993,72554,13142,23924,34637,69890,43074,8036,39517,21659,6861,13381,28608,5779,11048,13950,33090,8906,24699,14801,21234,24469,18360,24277,17314,83237,46092,101238,21937,20027,11342,32400,27035,24090,21073,77931,42766,41408,59806,29556,25251,31749,191831,85010
