,Date,MINMAX_BTC
263,2020-09-19,182000.0
264,2020-09-20,8000.0
265,2020-09-21,-410000.0
266,2020-09-22,164000.0
267,2020-09-23,-213000.0
268,2020-09-24,498000.0
269,2020-09-25,39000.0
270,2020-09-26,33000.0
271,2020-09-27,119000.0
272,2020-09-28,-183000.0
273,2020-09-29,145000.0
274,2020-09-30,58000.0
275,2020-10-01,-150000.0
276,2020-10-02,97000.0
277,2020-10-03,57000.0
278,2020-10-04,16000.0
279,2020-10-05,138000.0
280,2020-10-06,-71000.0
281,2020-10-07,53000.0
282,2020-10-08,240000.0
283,2020-10-09,93000.0
284,2020-10-10,-26000.0
285,2020-10-11,46000.0
286,2020-10-12,237000.0
287,2020-10-13,57000.0
288,2020-10-14,44000.0
289,2020-10-15,153000.0
290,2020-10-16,25000.0
291,2020-10-17,43000.0
292,2020-10-18,91000.0
293,2020-10-19,267000.0
294,2020-10-20,158000.0
295,2020-10-21,601000.0
296,2020-10-22,169000.0
297,2020-10-23,92000.0
298,2020-10-24,192000.0
299,2020-10-25,-20000.0
300,2020-10-26,103000.0
301,2020-10-27,564000.0
302,2020-10-28,-301000.0
303,2020-10-29,338000.0
304,2020-10-30,399000.0
305,2020-10-31,273000.0
306,2020-11-01,-13000.0
307,2020-11-02,-150000.0
308,2020-11-03,667000.0
309,2020-11-04,234000.0
310,2020-11-05,1123000.0
311,2020-11-06,-198000.0
312,2020-11-07,-624000.0
313,2020-11-08,515000.0
314,2020-11-09,14000.0
315,2020-11-10,30000.0
316,2020-11-11,395000.0
317,2020-11-12,472000.0
318,2020-11-13,-28000.0
319,2020-11-14,62000.0
320,2020-11-15,-28000.0
321,2020-11-16,335000.0
322,2020-11-17,977000.0
323,2020-11-18,152000.0
324,2020-11-19,52000.0
325,2020-11-20,462000.0
326,2020-11-21,-279000.0
327,2020-11-22,343000.0
328,2020-11-23,-230000.0
329,2020-11-24,728000.0
330,2020-11-25,-42000.0
331,2020-11-26,-741000.0
332,2020-11-27,66000.0
333,2020-11-28,451000.0
334,2020-11-29,394000.0
335,2020-11-30,1072000.0
336,2020-12-01,-272000.0
337,2020-12-02,253000.0
338,2020-12-03,283000.0
339,2020-12-04,-359000.0
340,2020-12-05,81000.0
341,2020-12-06,135000.0
342,2020-12-07,-108000.0
343,2020-12-08,-843000.0
344,2020-12-09,597000.0
345,2020-12-10,-9000.0
346,2020-12-11,108000.0
347,2020-12-12,581000.0
348,2020-12-13,-46000.0
