Date,Price,Open,High,Low,High-low,Change %
08/13/2021,762.25 ,753.00 ,774.75 ,747.50 ,27.25 ,0.01 
08/12/2021,753.50 ,724.00 ,762.00 ,723.00 ,39.00 ,0.04 
08/11/2021,727.00 ,726.75 ,732.25 ,718.75 ,13.50 ,0.00 
08/10/2021,727.00 ,711.00 ,730.00 ,708.50 ,21.50 ,0.02 
08/09/2021,711.25 ,719.00 ,723.75 ,708.25 ,15.50 ,(0.01)
08/06/2021,719.00 ,712.75 ,724.75 ,709.25 ,15.50 ,0.01 
08/05/2021,712.75 ,714.75 ,725.50 ,709.75 ,15.75 ,(0.01)
08/04/2021,717.25 ,724.25 ,738.75 ,714.50 ,24.25 ,(0.01)
08/03/2021,724.50 ,727.50 ,734.75 ,717.75 ,17.00 ,(0.01)
08/02/2021,729.50 ,704.00 ,731.75 ,704.00 ,27.75 ,0.04 
07/30/2021,703.75 ,705.00 ,711.50 ,695.00 ,16.50 ,(0.00)
07/29/2021,705.25 ,689.75 ,706.75 ,689.00 ,17.75 ,0.02 
07/28/2021,688.75 ,675.00 ,696.25 ,673.75 ,22.50 ,0.02 
07/27/2021,674.50 ,680.25 ,690.00 ,671.75 ,18.25 ,(0.00)
07/26/2021,677.00 ,684.00 ,684.00 ,665.50 ,18.50 ,(0.01)
07/23/2021,684.00 ,688.00 ,696.75 ,677.50 ,19.25 ,(0.01)
07/22/2021,692.25 ,708.25 ,709.00 ,681.75 ,27.25 ,(0.03)
07/21/2021,710.75 ,701.00 ,712.00 ,700.00 ,12.00 ,0.01 
07/20/2021,700.50 ,698.75 ,718.00 ,698.25 ,19.75 ,0.00 
07/19/2021,697.75 ,702.75 ,709.50 ,694.25 ,15.25 ,0.01 
07/16/2021,692.50 ,671.75 ,696.25 ,670.75 ,25.50 ,0.03 
07/15/2021,672.00 ,653.75 ,673.50 ,651.25 ,22.25 ,0.04 
07/14/2021,645.00 ,635.88 ,657.50 ,632.50 ,25.00 ,0.03 
07/13/2021,628.75 ,636.50 ,639.50 ,626.00 ,13.50 ,(0.01)
07/12/2021,635.00 ,610.75 ,634.75 ,604.50 ,30.25 ,0.04 
07/09/2021,608.50 ,608.00 ,612.25 ,606.50 ,5.75 ,(0.01)
