,날짜,SP_500_MINMAX
103,2023- 06- 05,33
104,2023- 06- 02,49
105,2023- 06- 01,61
106,2023- 05- 31,29
107,2023- 05- 30,39
108,2023- 05- 26,56
109,2023- 05- 25,36
110,2023- 05- 24,29
111,2023- 05- 23,43
112,2023- 05- 22,30
113,2023- 05- 19,32
114,2023- 05- 18,49
115,2023- 05- 17,51
116,2023- 05- 16,26
117,2023- 05- 15,31
118,2023- 05- 12,44
119,2023- 05- 11,23
120,2023- 05- 10,56
121,2023- 05- 09,14
122,2023- 05- 08,19
123,2023- 05- 05,63
124,2023- 05- 04,34
125,2023- 05- 03,60
126,2023- 05- 02,75
127,2023- 05- 01,22
128,2023- 04- 28,43
129,2023- 04- 27,63
130,2023- 04- 26,40
131,2023- 04- 25,55
132,2023- 04- 24,25
133,2023- 04- 21,25
134,2023- 04- 20,34
135,2023- 04- 19,28
136,2023- 04- 18,29
137,2023- 04- 17,28
138,2023- 04- 14,50
139,2023- 04- 13,51
140,2023- 04- 12,48
141,2023- 04- 11,22
142,2023- 04- 10,37
143,2023- 04- 06,38
144,2023- 04- 05,27
145,2023- 04- 04,47
146,2023- 04- 03,29
147,2023- 03- 31,54
148,2023- 03- 30,25
149,2023- 03- 29,31
150,2023- 03- 28,28
151,2023- 03- 27,33
152,2023- 03- 24,63
153,2023- 03- 23,88
154,2023- 03- 22,103
155,2023- 03- 21,38
156,2023- 03- 20,40
157,2023- 03- 17,57
158,2023- 03- 16,100
159,2023- 03- 15,56
160,2023- 03- 14,64
161,2023- 03- 13,97
162,2023- 03- 10,88
163,2023- 03- 09,109
164,2023- 03- 08,31
165,2023- 03- 07,70
166,2023- 03- 06,34
167,2023- 03- 03,53
168,2023- 03- 02,62
169,2023- 03- 01,32
170,2023- 02- 28,29
171,2023- 02- 27,45
172,2023- 02- 24,35
173,2023- 02- 23,59
174,2023- 02- 22,41
175,2023- 02- 21,57
176,2023- 02- 17,34
177,2023- 02- 16,47
178,2023- 02- 15,45
179,2023- 02- 14,64
180,2023- 02- 13,46
181,2023- 02- 10,34
182,2023- 02- 09,87
183,2023- 02- 08,45
184,2023- 02- 07,88
185,2023- 02- 06,31
186,2023- 02- 03,59
187,2023- 02- 02,54
188,2023- 02- 01,111
189,2023- 01- 31,57
190,2023- 01- 30,48
191,2023- 01- 27,46
192,2023- 01- 26,48
193,2023- 01- 25,70
194,2023- 01- 24,34
195,2023- 01- 23,68
196,2023- 01- 20,75
197,2023- 01- 19,37
198,2023- 01- 18,88
199,2023- 01- 17,31
200,2023- 01- 13,56
201,2023- 01- 12,60
202,2023- 01- 11,42
203,2023- 01- 10,42
204,2023- 01- 09,60
205,2023- 01- 06,97
206,2023- 01- 05,37
207,2023- 01- 04,58
208,2023- 01- 03,84
209,2022- 12- 30,39
210,2022- 12- 29,53
211,2022- 12- 28,68
212,2022- 12- 27,33
213,2022- 12- 23,48
214,2022- 12- 22,89
215,2022- 12- 21,50
216,2022- 12- 20,43
217,2022- 12- 19,54
218,2022- 12- 16,63
219,2022- 12- 15,79
220,2022- 12- 14,88
221,2022- 12- 13,107
222,2022- 12- 12,55
223,2022- 12- 09,44
224,2022- 12- 08,39
225,2022- 12- 07,35
226,2022- 12- 06,83
227,2022- 12- 05,68
228,2022- 12- 02,54
229,2022- 12- 01,50
230,2022- 11- 30,142
231,2022- 11- 29,39
232,2022- 11- 28,57
233,2022- 11- 25,14
234,2022- 11- 23,35
235,2022- 11- 22,49
236,2022- 11- 21,29
237,2022- 11- 18,44
238,2022- 11- 17,48
239,2022- 11- 16,29
240,2022- 11- 15,75
241,2022- 11- 14,52
242,2022- 11- 11,57
243,2022- 11- 10,99
244,2022- 11- 09,74
245,2022- 11- 08,73
246,2022- 11- 07,49
247,2022- 11- 04,88
248,2022- 11- 03,52
249,2022- 11- 02,136
250,2022- 11- 01,68
251,2022- 10- 31,30
252,2022- 10- 28,97
253,2022- 10- 27,56
254,2022- 10- 26,62
255,2022- 10- 25,63
256,2022- 10- 24,69
257,2022- 10- 21,110
258,2022- 10- 20,80
259,2022- 10- 19,62
260,2022- 10- 18,76
261,2022- 10- 17,51
262,2022- 10- 14,133
263,2022- 10- 13,194
264,2022- 10- 12,35
265,2022- 10- 11,72
266,2022- 10- 10,64
267,2022- 10- 07,86
268,2022- 10- 06,58
269,2022- 10- 05,84
270,2022- 10- 04,65
271,2022- 10- 03,94
272,2022- 09- 30,87
273,2022- 09- 29,77
274,2022- 09- 28,96
275,2022- 09- 27,94
276,2022- 09- 26,71
277,2022- 09- 23,80
278,2022- 09- 22,41
279,2022- 09- 21,118
280,2022- 09- 20,49
281,2022- 09- 19,62
282,2022- 09- 16,43
283,2022- 09- 15,71
284,2022- 09- 14,49
285,2022- 09- 13,116
286,2022- 09- 12,36
287,2022- 09- 09,54
288,2022- 09- 08,66
289,2022- 09- 07,81
290,2022- 09- 06,56
291,2022- 09- 02,112
292,2022- 09- 01,67
293,2022- 08- 31,61
294,2022- 08- 30,79
295,2022- 08- 29,45
296,2022- 08- 26,146
297,2022- 08- 25,53
298,2022- 08- 24,37
299,2022- 08- 23,35
300,2022- 08- 22,66
301,2022- 08- 19,48
302,2022- 08- 18,31
303,2022- 08- 17,49
304,2022- 08- 16,48
305,2022- 08- 15,45
306,2022- 08- 12,61
307,2022- 08- 11,56
308,2022- 08- 10,34
309,2022- 08- 09,25
310,2022- 08- 08,58
311,2022- 08- 05,44
312,2022- 08- 04,26
313,2022- 08- 03,60
314,2022- 08- 02,61
315,2022- 08- 01,48
316,2022- 07- 29,61
317,2022- 07- 28,86
318,2022- 07- 27,88
319,2022- 07- 26,43
320,2022- 07- 25,32
321,2022- 07- 22,74
322,2022- 07- 21,72
323,2022- 07- 20,52
324,2022- 07- 19,79
325,2022- 07- 18,84
326,2022- 07- 15,46
327,2022- 07- 14,75
328,2022- 07- 13,70
329,2022- 07- 12,71
330,2022- 07- 11,33
331,2022- 07- 08,49
332,2022- 07- 07,52
333,2022- 07- 06,61
334,2022- 07- 05,90
335,2022- 07- 01,77
336,2022- 06- 30,80
337,2022- 06- 29,37
338,2022- 06- 28,125
339,2022- 06- 27,38
340,2022- 06- 24,92
341,2022- 06- 23,59
342,2022- 06- 22,84
343,2022- 06- 21,64
344,2022- 06- 17,71
345,2022- 06- 16,89
346,2022- 06- 15,115
347,2022- 06- 14,73
348,2022- 06- 13,104
349,2022- 06- 10,74
350,2022- 06- 09,102
351,2022- 06- 08,53
352,2022- 06- 07,84
353,2022- 06- 06,59
354,2022- 06- 03,44
355,2022- 06- 02,103
356,2022- 06- 01,93
357,2022- 05- 31,64
358,2022- 05- 27,81
359,2022- 05- 26,91
360,2022- 05- 25,74
361,2022- 05- 24,80
362,2022- 05- 23,72
363,2022- 05- 20,133
364,2022- 05- 19,69
365,2022- 05- 18,140
366,2022- 05- 17,57
367,2022- 05- 16,63
368,2022- 05- 13,75
369,2022- 05- 12,106
370,2022- 05- 11,121
371,2022- 05- 10,110
372,2022- 05- 09,106
373,2022- 05- 06,90
374,2022- 05- 05,151
375,2022- 05- 04,159
376,2022- 05- 03,53
377,2022- 05- 02,107
378,2022- 04- 29,145
379,2022- 04- 28,120
380,2022- 04- 27,78
381,2022- 04- 26,103
382,2022- 04- 25,99
383,2022- 04- 22,118
384,2022- 04- 21,128
385,2022- 04- 20,40
386,2022- 04- 19,81
387,2022- 04- 18,40
388,2022- 04- 14,70
389,2022- 04- 13,61
390,2022- 04- 12,90
391,2022- 04- 11,56
392,2022- 04- 08,46
393,2022- 04- 07,71
394,2022- 04- 06,53
395,2022- 04- 05,79
396,2022- 04- 04,44
397,2022- 04- 01,41
398,2022- 03- 31,73
399,2022- 03- 30,46
400,2022- 03- 29,48
401,2022- 03- 28,58
402,2022- 03- 25,45
403,2022- 03- 24,55
404,2022- 03- 23,46
405,2022- 03- 22,53
406,2022- 03- 21,57
407,2022- 03- 18,75
408,2022- 03- 17,77
409,2022- 03- 16,107
410,2022- 03- 15,84
411,2022- 03- 14,86
412,2022- 03- 11,91
413,2022- 03- 10,59
414,2022- 03- 09,76
415,2022- 03- 08,119
416,2022- 03- 07,128
417,2022- 03- 04,58
418,2022- 03- 03,66
419,2022- 03- 02,79
420,2022- 03- 01,99
421,2022- 02- 28,73
422,2022- 02- 25,99
423,2022- 02- 24,180
424,2022- 02- 23,120
425,2022- 02- 22,95
426,2022- 02- 18,67
427,2022- 02- 17,83
428,2022- 02- 16,60
429,2022- 02- 15,43
430,2022- 02- 14,62
431,2022- 02- 11,125
432,2022- 02- 10,104
433,2022- 02- 09,43
434,2022- 02- 08,66
435,2022- 02- 07,50
436,2022- 02- 04,88
437,2022- 02- 03,72
438,2022- 02- 02,51
439,2022- 02- 01,67
440,2022- 01- 31,102
441,2022- 01- 28,140
442,2022- 01- 27,119
443,2022- 01- 26,149
444,2022- 01- 25,124
445,2022- 01- 24,195
446,2022- 01- 21,99
447,2022- 01- 20,125
448,2022- 01- 19,81
449,2022- 01- 18,64
450,2022- 01- 14,51
451,2022- 01- 13,94
452,2022- 01- 12,42
453,2022- 01- 11,76
454,2022- 01- 10,91
455,2022- 01- 07,45
456,2022- 01- 06,54
457,2022- 01- 05,98
458,2022- 01- 04,44
459,2022- 01- 03,38
460,2021- 12- 31,21
461,2021- 12- 30,33
462,2021- 12- 29,26
463,2021- 12- 28,27
464,2021- 12- 27,58
465,2021- 12- 23,37
466,2021- 12- 22,52
467,2021- 12- 21,68
468,2021- 12- 20,56
469,2021- 12- 17,66
470,2021- 12- 16,80
471,2021- 12- 15,101
472,2021- 12- 14,54
473,2021- 12- 13,43
474,2021- 12- 10,43
475,2021- 12- 09,30
476,2021- 12- 08,31
477,2021- 12- 07,63
478,2021- 12- 06,72
479,2021- 12- 03,113
480,2021- 12- 02,91
481,2021- 12- 01,142
482,2021- 11- 30,86
483,2021- 11- 29,47
484,2021- 11- 26,79
485,2021- 11- 24,43
486,2021- 11- 23,47
487,2021- 11- 22,61
488,2021- 11- 19,23
489,2021- 11- 18,36
490,2021- 11- 17,17
491,2021- 11- 16,35
492,2021- 11- 15,25
493,2021- 11- 12,38
494,2021- 11- 11,16
495,2021- 11- 10,54
496,2021- 11- 09,38
497,2021- 11- 08,20
498,2021- 11- 05,37
499,2021- 11- 04,21
500,2021- 11- 03,42
501,2021- 11- 02,22
502,2021- 11- 01,25
503,2021- 10- 29,41
504,2021- 10- 28,35
505,2021- 10- 27,33
506,2021- 10- 26,29
507,2021- 10- 25,35
508,2021- 10- 22,35
509,2021- 10- 21,25
510,2021- 10- 20,16
511,2021- 10- 19,24
512,2021- 10- 18,41
513,2021- 10- 15,28
514,2021- 10- 14,53
515,2021- 10- 13,43
516,2021- 10- 12,32
517,2021- 10- 11,55
518,2021- 10- 08,26
519,2021- 10- 07,46
520,2021- 10- 06,75
521,2021- 10- 05,60
522,2021- 10- 04,77
523,2021- 10- 01,87
524,2021- 09- 30,76
525,2021- 09- 29,30
526,2021- 09- 28,73
527,2021- 09- 27,21
528,2021- 09- 24,33
529,2021- 09- 23,59
530,2021- 09- 22,49
531,2021- 09- 21,47
532,2021- 09- 20,97
533,2021- 09- 17,44
534,2021- 09- 16,42
535,2021- 09- 15,48
536,2021- 09- 14,50
537,2021- 09- 13,47
538,2021- 09- 10,63
539,2021- 09- 09,37
540,2021- 09- 08,28
541,2021- 09- 07,22
542,2021- 09- 03,20
543,2021- 09- 02,21
544,2021- 09- 01,15
545,2021- 08- 31,16
546,2021- 08- 30,24
547,2021- 08- 27,39
548,2021- 08- 26,27
549,2021- 08- 25,16
550,2021- 08- 24,10
551,2021- 08- 23,39
552,2021- 08- 20,38
553,2021- 08- 19,51
554,2021- 08- 18,57
555,2021- 08- 17,45
556,2021- 08- 16,43
557,2021- 08- 13,8
558,2021- 08- 12,26
559,2021- 08- 11,13
560,2021- 08- 10,15
561,2021- 08- 09,15
562,2021- 08- 06,11
563,2021- 08- 05,21
564,2021- 08- 04,16
565,2021- 08- 03,50
566,2021- 08- 02,38
567,2021- 07- 30,23
568,2021- 07- 29,26
569,2021- 07- 28,28
570,2021- 07- 27,44
571,2021- 07- 26,17
572,2021- 07- 23,34
573,2021- 07- 22,19
574,2021- 07- 21,28
575,2021- 07- 20,74
576,2021- 07- 19,63
577,2021- 07- 16,53
578,2021- 07- 15,29
579,2021- 07- 14,31
580,2021- 07- 13,26
581,2021- 07- 12,22
582,2021- 07- 09,42
583,2021- 07- 08,41
584,2021- 07- 07,32
585,2021- 07- 06,42
586,2021- 07- 02,29
587,2021- 07- 01,20
588,2021- 06- 30,15
589,2021- 06- 29,13
590,2021- 06- 28,18
591,2021- 06- 25,15
592,2021- 06- 24,15
593,2021- 06- 23,15
594,2021- 06- 22,38
595,2021- 06- 21,53
596,2021- 06- 18,40
597,2021- 06- 17,36
598,2021- 06- 16,49
599,2021- 06- 15,19
600,2021- 06- 14,21
601,2021- 06- 11,16
602,2021- 06- 10,29
603,2021- 06- 09,19
604,2021- 06- 08,28
605,2021- 06- 07,17
606,2021- 06- 04,27
607,2021- 06- 03,37
608,2021- 06- 02,19
609,2021- 06- 01,37
610,2021- 05- 28,15
611,2021- 05- 27,16
612,2021- 05- 26,18
613,2021- 05- 25,31
614,2021- 05- 24,39
615,2021- 05- 21,37
616,2021- 05- 20,51
617,2021- 05- 19,55
618,2021- 05- 18,44
619,2021- 05- 17,29
620,2021- 05- 14,54
621,2021- 05- 13,57
622,2021- 05- 12,78
623,2021- 05- 11,51
624,2021- 05- 10,48
625,2021- 05- 07,37
626,2021- 05- 06,55
627,2021- 05- 05,27
628,2021- 05- 04,51
629,2021- 05- 03,21
630,2021- 04- 30,24
631,2021- 04- 29,42
632,2021- 04- 28,20
633,2021- 04- 27,17
634,2021- 04- 26,12
635,2021- 04- 23,56
636,2021- 04- 22,56
637,2021- 04- 21,49
638,2021- 04- 20,41
639,2021- 04- 19,30
640,2021- 04- 16,21
641,2021- 04- 15,34
642,2021- 04- 14,31
643,2021- 04- 13,24
644,2021- 04- 12,17
645,2021- 04- 09,34
646,2021- 04- 08,16
647,2021- 04- 07,15
648,2021- 04- 06,18
649,2021- 04- 05,49
650,2021- 04- 01,28
651,2021- 03- 31,28
652,2021- 03- 30,24
653,2021- 03- 29,38
654,2021- 03- 26,61
655,2021- 03- 25,66
656,2021- 03- 24,53
657,2021- 03- 23,48
658,2021- 03- 22,41
659,2021- 03- 19,44
660,2021- 03- 18,59
661,2021- 03- 17,48
662,2021- 03- 16,28
663,2021- 03- 15,47
664,2021- 03- 12,29
665,2021- 03- 11,45
666,2021- 03- 10,32
667,2021- 03- 09,52
668,2021- 03- 08,62
669,2021- 03- 05,121
670,2021- 03- 04,120
671,2021- 03- 03,56
672,2021- 03- 02,38
673,2021- 03- 01,72
674,2021- 02- 26,72
675,2021- 02- 25,111
676,2021- 02- 24,69
677,2021- 02- 23,90
678,2021- 02- 22,28
679,2021- 02- 19,27
680,2021- 02- 18,36
681,2021- 02- 17,33
682,2021- 02- 16,27
683,2021- 02- 12,32
684,2021- 02- 11,35
685,2021- 02- 10,47
686,2021- 02- 09,16
687,2021- 02- 08,23
688,2021- 02- 05,20
689,2021- 02- 04,36
690,2021- 02- 03,31
691,2021- 02- 02,52
692,2021- 02- 01,59
693,2021- 01- 29,84
694,2021- 01- 28,75
695,2021- 01- 27,104
696,2021- 01- 26,23
697,2021- 01- 25,62
698,2021- 01- 22,22
699,2021- 01- 21,16
700,2021- 01- 20,43
701,2021- 01- 19,24
702,2021- 01- 15,39
703,2021- 01- 14,31
704,2021- 01- 13,29
705,2021- 01- 12,34
706,2021- 01- 11,28
707,2021- 01- 08,43
708,2021- 01- 07,47
709,2021- 01- 06,78
710,2021- 01- 05,42
711,2021- 01- 04,107
712,2020- 12- 31,34
713,2020- 12- 30,14
714,2020- 12- 29,33
715,2020- 12- 28,17
716,2020- 12- 24,14
717,2020- 12- 23,22
718,2020- 12- 22,22
719,2020- 12- 21,66
720,2020- 12- 18,41
721,2020- 12- 17,15
722,2020- 12- 16,23
723,2020- 12- 15,36
724,2020- 12- 14,52
725,2020- 12- 11,32
726,2020- 12- 10,33
727,2020- 12- 09,52
728,2020- 12- 08,30
729,2020- 12- 07,19
730,2020- 12- 04,29
731,2020- 12- 03,25
732,2020- 12- 02,26
733,2020- 12- 01,33
734,2020- 11- 30,40
735,2020- 11- 27,15
736,2020- 11- 25,18
737,2020- 11- 24,48
738,2020- 11- 23,37
739,2020- 11- 20,25
740,2020- 11- 19,42
741,2020- 11- 18,52
742,2020- 11- 17,35
743,2020- 11- 16,28
744,2020- 11- 13,41
745,2020- 11- 12,51
746,2020- 11- 11,24
747,2020- 11- 10,46
748,2020- 11- 09,98
749,2020- 11- 06,37
750,2020- 11- 05,44
751,2020- 11- 04,81
752,2020- 11- 03,53
753,2020- 11- 02,51
754,2020- 10- 30,71
755,2020- 10- 29,82
756,2020- 10- 28,74
757,2020- 10- 27,21
758,2020- 10- 26,77
759,2020- 10- 23,26
760,2020- 10- 22,45
761,2020- 10- 21,31
762,2020- 10- 20,41
763,2020- 10- 19,83
764,2020- 10- 16,35
765,2020- 10- 15,49
766,2020- 10- 14,47
767,2020- 10- 13,34
768,2020- 10- 12,50
769,2020- 10- 09,24
770,2020- 10- 08,19
771,2020- 10- 07,42
772,2020- 10- 06,77
773,2020- 10- 05,42
774,2020- 10- 02,46
775,2020- 10- 01,36
776,2020- 09- 30,53
777,2020- 09- 29,30
778,2020- 09- 28,28
779,2020- 09- 25,78
780,2020- 09- 24,69
781,2020- 09- 23,91
782,2020- 09- 22,50
783,2020- 09- 21,56
784,2020- 09- 18,70
785,2020- 09- 17,47
786,2020- 09- 16,44
787,2020- 09- 15,30
788,2020- 09- 14,39
789,2020- 09- 11,58
790,2020- 09- 10,96
791,2020- 09- 09,58
792,2020- 09- 08,50
793,2020- 09- 04,130
794,2020- 09- 03,137
795,2020- 09- 02,53
796,2020- 09- 01,34
797,2020- 08- 31,21
798,2020- 08- 28,25
799,2020- 08- 27,33
800,2020- 08- 26,37
801,2020- 08- 25,19
802,2020- 08- 24,19
803,2020- 08- 21,20
804,2020- 08- 20,36
805,2020- 08- 19,30
806,2020- 08- 18,25
807,2020- 08- 17,8
808,2020- 08- 14,17
809,2020- 08- 13,24
810,2020- 08- 12,32
811,2020- 08- 11,55
812,2020- 08- 10,28
813,2020- 08- 07,24
814,2020- 08- 06,33
815,2020- 08- 05,13
816,2020- 08- 04,20
817,2020- 08- 03,18
818,2020- 07- 31,52
819,2020- 07- 30,46
820,2020- 07- 29,37
821,2020- 07- 28,27
822,2020- 07- 27,27
823,2020- 07- 24,27
824,2020- 07- 23,57
825,2020- 07- 22,26
826,2020- 07- 21,30
827,2020- 07- 20,43
828,2020- 07- 17,28
829,2020- 07- 16,22
830,2020- 07- 15,38
831,2020- 07- 14,73
832,2020- 07- 13,86
833,2020- 07- 10,50
834,2020- 07- 09,64
835,2020- 07- 08,35
836,2020- 07- 07,42
837,2020- 07- 06,27
838,2020- 07- 02,41
839,2020- 07- 01,27
840,2020- 06- 30,64
841,2020- 06- 29,54
842,2020- 06- 26,69
843,2020- 06- 25,62
844,2020- 06- 24,83
845,2020- 06- 23,27
846,2020- 06- 22,41
847,2020- 06- 19,72
848,2020- 06- 18,27
849,2020- 06- 17,33
850,2020- 06- 16,77
851,2020- 06- 15,114
852,2020- 06- 12,104
853,2020- 06- 11,124
854,2020- 06- 10,42
855,2020- 06- 09,29
856,2020- 06- 08,37
857,2020- 06- 05,48
858,2020- 06- 04,38
859,2020- 06- 03,32
860,2020- 06- 02,30
861,2020- 06- 01,31
862,2020- 05- 29,51
863,2020- 05- 28,45
864,2020- 05- 27,67
865,2020- 05- 26,33
866,2020- 05- 22,23
867,2020- 05- 21,40
868,2020- 05- 20,27
869,2020- 05- 19,42
870,2020- 05- 18,55
871,2020- 05- 15,49
872,2020- 05- 14,86
873,2020- 05- 13,81
874,2020- 05- 12,76
875,2020- 05- 11,41
876,2020- 05- 08,30
877,2020- 05- 07,25
878,2020- 05- 06,44
879,2020- 05- 05,35
880,2020- 05- 04,47
881,2020- 05- 01,48
882,2020- 04- 30,38
883,2020- 04- 29,42
884,2020- 04- 28,61
885,2020- 04- 27,35
886,2020- 04- 24,51
887,2020- 04- 23,50
888,2020- 04- 22,40
889,2020- 04- 21,58
890,2020- 04- 20,48
891,2020- 04- 17,49
892,2020- 04- 16,42
893,2020- 04- 15,40
894,2020- 04- 14,46
895,2020- 04- 13,61
896,2020- 04- 09,56
897,2020- 04- 08,97
898,2020- 04- 07,99
899,2020- 04- 06,102
900,2020- 04- 03,79
901,2020- 04- 02,78
902,2020- 04- 01,75
903,2020- 03- 31,70
904,2020- 03- 30,86
905,2020- 03- 27,95
906,2020- 03- 26,137
907,2020- 03- 25,164
908,2020- 03- 24,105
909,2020- 03- 23,109
910,2020- 03- 20,158
911,2020- 03- 19,147
912,2020- 03- 18,173
913,2020- 03- 17,186
914,2020- 03- 16,182
915,2020- 03- 13,219
916,2020- 03- 12,182
917,2020- 03- 11,118
918,2020- 03- 10,148
919,2020- 03- 09,129
920,2020- 03- 06,84
921,2020- 03- 05,84
922,2020- 03- 04,96
923,2020- 03- 03,160
924,2020- 03- 02,145
925,2020- 02- 28,104
926,2020- 02- 27,120
927,2020- 02- 26,74
928,2020- 02- 25,128
929,2020- 02- 24,45
930,2020- 02- 21,32
931,2020- 02- 20,48
932,2020- 02- 19,15
933,2020- 02- 18,20
934,2020- 02- 14,14
935,2020- 02- 13,25
936,2020- 02- 12,12
937,2020- 02- 11,23
938,2020- 02- 10,35
939,2020- 02- 07,19
940,2020- 02- 06,13
941,2020- 02- 05,24
942,2020- 02- 04,26
943,2020- 02- 03,33
944,2020- 01- 31,68
945,2020- 01- 30,43
946,2020- 01- 29,22
947,2020- 01- 28,32
948,2020- 01- 27,24
949,2020- 01- 24,52
950,2020- 01- 23,25
951,2020- 01- 22,17
952,2020- 01- 21,13
953,2020- 01- 17,11
954,2020- 01- 16,15
955,2020- 01- 15,18
956,2020- 01- 14,17
957,2020- 01- 13,20
958,2020- 01- 10,22
959,2020- 01- 09,12
960,2020- 01- 08,31
961,2020- 01- 07,12
962,2020- 01- 06,32
963,2020- 01- 03,24
964,2020- 01- 02,23
965,2019- 12- 31,19
966,2019- 12- 30,24
967,2019- 12- 27,13
968,2019- 12- 26,13
969,2019- 12- 24,6
970,2019- 12- 23,5
971,2019- 12- 20,9
972,2019- 12- 19,13
973,2019- 12- 18,7
974,2019- 12- 17,7
975,2019- 12- 16,14
976,2019- 12- 13,26
977,2019- 12- 12,38
978,2019- 12- 11,10
979,2019- 12- 10,16
980,2019- 12- 09,13
981,2019- 12- 06,16
982,2019- 12- 05,16
983,2019- 12- 04,17
984,2019- 12- 03,24
985,2019- 12- 02,34
986,2019- 11- 29,11
987,2019- 11- 27,11
988,2019- 11- 26,11
989,2019- 11- 25,16
990,2019- 11- 22,13
991,2019- 11- 21,16
992,2019- 11- 20,27
993,2019- 11- 19,14
994,2019- 11- 18,12
995,2019- 11- 15,16
996,2019- 11- 14,15
997,2019- 11- 13,20
998,2019- 11- 12,18
999,2019- 11- 11,13
1000,2019- 11- 08,20
1001,2019- 11- 07,17
1002,2019- 11- 06,13
1003,2019- 11- 05,11
1004,2019- 11- 04,11
1005,2019- 11- 01,16
1006,2019- 10- 31,23
1007,2019- 10- 30,25
1008,2019- 10- 29,13
1009,2019- 10- 28,12
1010,2019- 10- 25,26
1011,2019- 10- 24,16
1012,2019- 10- 23,13
1013,2019- 10- 22,19
1014,2019- 10- 21,12
1015,2019- 10- 18,24
1016,2019- 10- 17,17
1017,2019- 10- 16,12
1018,2019- 10- 15,30
1019,2019- 10- 14,10
1020,2019- 10- 11,30
1021,2019- 10- 10,31
1022,2019- 10- 09,22
1023,2019- 10- 08,33
1024,2019- 10- 07,24
1025,2019- 10- 04,35
1026,2019- 10- 03,56
1027,2019- 10- 02,50
1028,2019- 10- 01,54
1029,2019- 09- 30,16
1030,2019- 09- 27,42
1031,2019- 09- 26,24
1032,2019- 09- 25,37
1033,2019- 09- 24,50
1034,2019- 09- 23,17
1035,2019- 09- 20,32
1036,2019- 09- 19,18
1037,2019- 09- 18,29
1038,2019- 09- 17,13
1039,2019- 09- 16,12
1040,2019- 09- 13,15
1041,2019- 09- 12,20
1042,2019- 09- 11,25
1043,2019- 09- 10,22
1044,2019- 09- 09,20
1045,2019- 09- 06,13
1046,2019- 09- 05,25
1047,2019- 09- 04,17
1048,2019- 09- 03,23
1049,2019- 08- 30,27
1050,2019- 08- 29,25
1051,2019- 08- 28,37
1052,2019- 08- 27,38
1053,2019- 08- 26,23
1054,2019- 08- 23,93
1055,2019- 08- 22,35
1056,2019- 08- 21,11
1057,2019- 08- 20,24
1058,2019- 08- 19,18
1059,2019- 08- 16,29
1060,2019- 08- 15,31
1061,2019- 08- 14,55
1062,2019- 08- 13,66
1063,2019- 08- 12,34
1064,2019- 08- 09,35
1065,2019- 08- 08,44
1066,2019- 08- 07,67
1067,2019- 08- 06,37
1068,2019- 08- 05,76
