date,PER,PBR,Dividend_Yield
20211130,13.77,1.13,1.92
20211129,14.17,1.16,1.86
20211126,14.29,1.17,1.84
20211125,14.51,1.19,1.82
20211124,14.57,1.2,1.81
20211123,14.59,1.2,1.81
20211122,14.67,1.21,1.8
20211119,14.46,1.19,1.82
20211118,14.34,1.18,1.84
20211117,14.42,1.19,1.83
20211116,14.59,1.2,1.81
20211115,14.58,1.2,1.81
20211112,14.43,1.19,1.83
20211111,14.21,1.17,1.85
20211110,14.24,1.17,1.85
20211109,14.4,1.18,1.83
20211108,14.39,1.18,1.83
20211105,14.43,1.19,1.83
20211104,14.5,1.19,1.82
20211103,14.29,1.17,1.85
20211102,14.46,1.19,1.82
20211101,14.3,1.18,1.84
20211029,14.25,1.17,1.85
20211028,14.44,1.19,1.83
20211027,14.52,1.19,1.82
20211026,14.63,1.2,1.8
20211025,14.5,1.19,1.82
20211022,14.43,1.19,1.83
20211021,14.43,1.19,1.83
20211020,14.46,1.19,1.82
20211019,14.54,1.2,1.81
20211018,14.43,1.19,1.83
20211015,14.47,1.19,1.82
20211014,14.34,1.18,1.84
20211013,14.12,1.16,1.87
20211012,13.99,1.15,1.88
20211008,14.18,1.17,1.86
20211007,14.2,1.17,1.86
20211006,13.95,1.15,1.89
20211005,14.21,1.17,1.86
20211001,14.48,1.19,1.82
20210930,14.72,1.21,1.79
20210929,14.68,1.21,1.8
20210928,14.86,1.22,1.77
20210927,15.03,1.24,1.75
20210924,14.99,1.23,1.76
20210923,15.0,1.23,1.76
20210917,14.95,1.24,1.76
20210916,14.91,1.23,1.76
20210915,15.01,1.24,1.75
20210914,14.99,1.24,1.75
20210913,14.89,1.23,1.77
20210910,14.87,1.23,1.77
20210909,14.82,1.23,1.77
20210908,18.02,1.29,1.75
20210907,18.16,1.3,1.74
20210906,18.25,1.3,1.73
20210903,18.24,1.3,1.73
20210902,18.1,1.29,1.74
20210901,18.24,1.3,1.73
20210831,18.2,1.3,1.73
20210830,17.88,1.28,1.77
20210827,17.82,1.27,1.77
20210826,17.78,1.27,1.77
20210825,17.89,1.28,1.76
20210824,17.84,1.28,1.77
20210823,17.57,1.26,1.8
20210820,17.39,1.24,1.81
20210819,17.6,1.26,1.79
20210818,17.94,1.28,1.76
20210817,17.86,1.28,1.77
20210813,18.02,1.29,1.75
20210812,18.24,1.3,1.73
20210811,18.31,1.31,1.73
20210810,18.34,1.3,1.73
20210809,18.43,1.31,1.72
20210806,18.23,1.3,1.74
20210805,18.26,1.3,1.74
20210804,18.28,1.3,1.74
20210803,18.04,1.28,1.76
20210802,17.96,1.28,1.77
20210730,17.85,1.27,1.78
20210729,18.07,1.29,1.76
20210728,18.04,1.28,1.76
20210727,18.01,1.28,1.76
20210726,17.97,1.28,1.77
20210723,18.14,1.29,1.75
20210722,18.11,1.29,1.75
20210721,17.94,1.28,1.77
20210720,18.02,1.28,1.76
20210719,18.08,1.29,1.76
20210716,18.31,1.3,1.74
20210715,18.34,1.3,1.74
20210714,18.22,1.29,1.75
20210713,18.25,1.29,1.75
20210712,18.11,1.28,1.76
20210709,17.95,1.27,1.78
20210708,18.15,1.29,1.76
20210707,18.33,1.3,1.74
20210706,18.44,1.31,1.73
20210705,18.37,1.3,1.74
20210702,18.3,1.3,1.74
20210701,18.3,1.3,1.74
20210630,18.38,1.3,1.73
20210629,18.33,1.3,1.74
20210628,18.4,1.3,1.73
20210625,18.41,1.3,1.73
20210624,18.32,1.3,1.74
20210623,18.26,1.29,1.75
20210622,18.19,1.29,1.75
20210621,18.06,1.28,1.76
20210618,18.22,1.29,1.75
20210617,18.2,1.29,1.75
20210616,18.27,1.29,1.74
20210615,18.16,1.29,1.76
20210614,18.12,1.28,1.76
20210611,18.11,1.28,1.76
20210610,17.97,1.27,1.77
20210609,17.95,1.27,1.78
20210608,18.13,1.28,1.76
20210607,18.16,1.28,1.76
20210604,18.09,1.28,1.77
20210603,18.13,1.28,1.76
20210602,26.86,1.3,1.78
20210601,26.84,1.3,1.78
20210531,26.69,1.29,1.79
20210528,26.56,1.29,1.8
20210527,26.43,1.28,1.81
20210526,26.46,1.28,1.8
20210525,26.48,1.28,1.8
20210524,26.25,1.27,1.82
20210521,26.39,1.28,1.81
20210520,26.44,1.28,1.81
20210518,26.53,1.28,1.8
20210517,26.2,1.27,1.82
20210514,26.36,1.28,1.81
20210513,26.09,1.26,1.83
20210512,26.46,1.28,1.8
20210511,26.75,1.3,1.79
20210510,27.07,1.31,1.76
20210507,26.63,1.29,1.79
20210506,26.48,1.28,1.8
20210504,26.22,1.27,1.82
20210503,26.05,1.26,1.83
20210430,32.6,1.28,1.34
20210429,32.87,1.29,1.33
20210428,32.94,1.29,1.32
20210427,33.3,1.31,1.31
20210426,33.32,1.31,1.31
20210423,32.99,1.3,1.32
20210422,32.92,1.29,1.32
20210421,32.85,1.29,1.33
20210420,33.35,1.31,1.31
20210419,33.12,1.3,1.32
20210416,33.12,1.3,1.32
20210415,33.07,1.3,1.32
20210414,32.95,1.29,1.32
20210413,32.79,1.29,1.33
20210412,32.44,1.27,1.34
20210409,32.4,1.27,1.35
20210408,32.52,1.28,1.34
20210407,32.46,1.27,1.34
20210406,32.35,1.27,1.35
20210405,32.29,1.27,1.35
20210402,32.2,1.26,1.35
20210401,31.94,1.25,1.36
20210331,31.67,1.24,1.38
20210330,31.75,1.25,1.37
20210329,31.4,1.23,1.39
20210326,31.45,1.24,1.39
20210325,31.12,1.22,1.4
20210324,31.0,1.22,1.41
20210323,31.09,1.22,1.4
20210322,31.41,1.23,1.39
20210319,31.45,1.24,1.39
20210318,31.53,1.24,1.38
20210317,31.34,1.23,1.39
20210316,31.54,1.24,1.38
20210315,31.32,1.23,1.39
20210312,31.41,1.23,1.39
20210311,30.99,1.22,1.41
20210310,30.42,1.19,1.43
20210309,30.6,1.2,1.43
20210308,30.81,1.21,1.42
20210305,31.12,1.22,1.4
20210304,31.3,1.23,1.39
20210303,31.71,1.25,1.38
