date,krx_close,krx_diff,krx_return,PER,PBR,Dividend_Yield
2018-04-02,314.0,-0.61,-0.19,11.93,1.15,1.35
2018-04-03,313.38,-0.62,-0.2,11.9,1.15,1.36
2018-04-04,308.54,-4.84,-1.54,11.72,1.13,1.38
2018-04-05,313.04,4.5,1.46,11.89,1.15,1.36
2018-04-06,311.61,-1.43,-0.46,11.84,1.14,1.36
2018-04-09,313.45,1.84,0.59,11.91,1.15,1.36
2018-04-10,313.94,0.49,0.16,11.93,1.15,1.35
2018-04-11,312.94,-1.0,-0.32,11.89,1.15,1.36
2018-04-12,313.22,0.28,0.09,11.9,1.15,1.36
2018-04-13,314.86,1.64,0.52,11.95,1.15,1.35
2018-04-16,315.17,0.31,0.1,11.96,1.15,1.35
2018-04-17,314.64,-0.53,-0.17,11.94,1.15,1.35
2018-04-18,318.64,4.0,1.27,12.09,1.17,1.33
2018-04-19,320.12,1.48,0.46,12.15,1.17,1.33
2018-04-20,317.89,-2.23,-0.7,12.06,1.16,1.34
2018-04-23,317.89,0.0,0.0,12.06,1.16,1.34
2018-04-24,315.86,-2.03,-0.64,11.99,1.16,1.35
2018-04-25,313.99,-1.87,-0.59,11.91,1.15,1.35
2018-04-26,318.08,4.09,1.3,12.07,1.16,1.34
2018-04-27,320.8,2.72,0.86,12.18,1.17,1.32
2018-04-30,323.56,2.76,0.86,12.28,1.18,1.31
2018-05-02,322.53,-1.03,-0.32,11.18,1.17,1.6
2018-05-03,320.55,-1.98,-0.61,11.12,1.17,1.61
2018-05-04,316.75,-3.8,-1.19,10.98,1.15,1.63
2018-05-08,315.87,-0.88,-0.28,10.95,1.15,1.63
2018-05-09,314.42,-1.45,-0.46,10.9,1.15,1.64
2018-05-10,317.31,2.89,0.92,11.0,1.16,1.63
2018-05-11,318.51,1.2,0.38,11.05,1.16,1.62
2018-05-14,317.72,-0.79,-0.25,11.02,1.16,1.62
2018-05-15,314.94,-2.78,-0.87,10.92,1.15,1.64
2018-05-16,315.97,1.03,0.33,10.96,1.15,1.63
2018-05-17,314.29,-1.68,-0.53,10.9,1.14,1.64
2018-05-18,315.37,1.08,0.34,10.94,1.15,1.64
2018-05-21,316.25,0.88,0.28,10.97,1.15,1.63
2018-05-23,318.31,2.06,0.65,11.04,1.16,1.62
2018-05-24,317.48,-0.83,-0.26,11.01,1.16,1.62
2018-05-25,318.05,0.57,0.18,11.03,1.16,1.62
2018-05-28,318.99,0.94,0.3,11.06,1.16,1.62
2018-05-29,316.2,-2.79,-0.87,10.97,1.15,1.63
2018-05-30,309.26,-6.94,-2.19,10.73,1.13,1.67
2018-05-31,310.92,1.66,0.54,10.78,1.13,1.66
2018-06-01,313.22,2.3,0.74,10.86,1.14,1.65
2018-06-04,314.84,1.62,0.52,10.92,1.15,1.64
2018-06-05,315.76,0.92,0.29,10.77,1.13,1.63
2018-06-07,317.67,1.91,0.6,10.83,1.14,1.62
2018-06-08,314.97,-2.7,-0.85,10.74,1.13,1.64
2018-06-11,317.22,2.25,0.71,10.82,1.14,1.63
