,date,T10Y3M
148,2021-07-29,1.22
149,2021-07-30,1.18
150,2021-08-02,1.15
151,2021-08-03,1.14
152,2021-08-04,1.14
153,2021-08-05,1.18
154,2021-08-06,1.25
155,2021-08-09,1.27
156,2021-08-10,1.31
157,2021-08-11,1.3
158,2021-08-12,1.3
159,2021-08-13,1.23
160,2021-08-16,1.2
161,2021-08-17,1.19
162,2021-08-18,1.2
163,2021-08-19,1.18
164,2021-08-20,1.21
165,2021-08-23,1.2
166,2021-08-24,1.24
167,2021-08-25,1.29
168,2021-08-26,1.29
169,2021-08-27,1.26
170,2021-08-30,1.24
171,2021-08-31,1.26
172,2021-09-01,1.26
173,2021-09-02,1.24
174,2021-09-03,1.28
175,2021-09-06,1.28
176,2021-09-07,1.33
177,2021-09-08,1.3
178,2021-09-09,1.26
179,2021-09-10,1.3
180,2021-09-13,1.27
181,2021-09-14,1.24
182,2021-09-15,1.27
183,2021-09-16,1.3
184,2021-09-17,1.33
185,2021-09-20,1.27
186,2021-09-21,1.3
187,2021-09-22,1.29
188,2021-09-23,1.38
189,2021-09-24,1.44
190,2021-09-27,1.44
191,2021-09-28,1.5
192,2021-09-29,1.51
193,2021-09-30,1.48
194,2021-10-01,1.44
195,2021-10-04,1.45
196,2021-10-05,1.5
197,2021-10-06,1.49
198,2021-10-07,1.53
199,2021-10-08,1.56
200,2021-10-11,1.56
201,2021-10-12,1.53
202,2021-10-13,1.51
203,2021-10-14,1.47
204,2021-10-15,1.54
205,2021-10-18,1.53
206,2021-10-19,1.6
207,2021-10-20,1.6
208,2021-10-21,1.62
209,2021-10-22,1.6
210,2021-10-25,1.58
211,2021-10-26,1.57
212,2021-10-27,1.48
213,2021-10-28,1.51
214,2021-10-29,1.5
215,2021-11-01,1.53
216,2021-11-02,1.51
217,2021-11-03,1.55
218,2021-11-04,1.49
219,2021-11-05,1.4
220,2021-11-08,1.45
221,2021-11-09,1.42
222,2021-11-10,1.51
223,2021-11-11,1.51
224,2021-11-12,1.53
225,2021-11-15,1.58
226,2021-11-16,1.58
227,2021-11-17,1.55
228,2021-11-18,1.54
229,2021-11-19,1.49
230,2021-11-22,1.58
231,2021-11-23,1.61
232,2021-11-24,1.58
233,2021-11-25,1.58
234,2021-11-26,1.42
235,2021-11-29,1.46
236,2021-11-30,1.38
237,2021-12-01,1.37
238,2021-12-02,1.39
239,2021-12-03,1.29
240,2021-12-06,1.38
241,2021-12-07,1.42
242,2021-12-08,1.45
243,2021-12-09,1.43
244,2021-12-10,1.42
245,2021-12-13,1.37
246,2021-12-14,1.39
247,2021-12-15,1.42
