date,close
20200210,27468
20200211,27948
20200212,27939
20200213,28345
20200214,28027
20200217,28211
20200218,28091
20200219,27897
20200220,28133
20200221,27510
20200224,26748
20200225,26309
20200226,26185
20200227,26231
20200228,25414
20200302,24966
20200303,25797
20200304,25760
20200305,26189
20200306,25982
20200309,24994
20200310,24537
20200311,24680
20200312,23724
20200313,21928
20200316,22547
20200317,21033
20200318,21370
20200319,20271
20200320,19112
20200323,18775
20200324,19514
20200325,21374
20200326,21993
20200327,22228
20200330,21277
20200331,22261
20200401,22127
20200402,21250
20200403,21951
20200406,22201
20200407,22972
20200408,22778
20200409,23027
20200410,23078
20200413,23069
20200414,22972
20200416,22949
20200417,23830
20200420,23890
20200421,23415
20200422,22990
20200423,23664
20200424,23636
20200427,23623
20200428,24054
20200429,24162
20200504,23627
20200506,23716
20200507,23782
20200508,24152
20200511,24251
20200512,23688
20200513,23570
20200514,23721
20200515,23810
20200518,23843
20200519,24570
20200520,24594
20200521,24753
20200522,24678
20200525,24467
20200526,24730
20200527,25007
20200528,25340
20200529,25068
20200601,25377
20200602,25743
20200603,26424
20200604,27194
20200605,26767
20200608,27475
20200609,27616
20200610,27339
20200611,27250
20200612,26283
20200615,26185
20200616,25912
20200617,26358
20200618,26405
20200619,26250
20200622,26443
20200623,26781
20200624,26781
20200625,26565
20200626,26391
20200629,26297
20200630,26509
20200701,26546
20200702,26457
20200703,26729
20200706,26964
20200707,27475
20200708,27072
20200709,27062
20200710,26936
20200713,27029
20200714,27137
20200715,27630
20200716,27494
20200717,27391
20200720,27433
20200721,27630
20200722,27743
20200723,27443
20200724,27428
20200727,27588
20200728,28039
20200729,28400
20200730,28522
20200731,28245
20200803,28043
20200804,28518
20200805,28616
20200806,29176
20200807,29510
20200810,29529
20200811,29947
20200812,30140
20200813,30577
20200814,30121
20200818,30201
20200819,29759
20200820,29326
20200821,28837
20200824,28884
20200825,29298
20200826,29355
20200827,29453
20200828,29340
20200831,29594
20200901,29176
20200902,29392
20200903,29735
20200904,29157
20200907,29359
20200908,29679
20200909,29472
20200910,29759
20200911,29670
20200914,29956
20200915,30145
20200916,30309
20200917,29999
20200918,29858
20200921,30074
20200922,29524
20200923,29040
20200924,28612
20200925,28494
20200928,28781
20200929,29223
20201005,29209
20201006,29768
20201007,29463
20201008,30032
20201012,30088
20201013,30079
20201014,30032
20201015,29623
20201016,29557
20201019,29576
20201020,29566
20201021,29721
20201022,29411
20201023,29566
20201026,29679
20201027,29449
20201028,29204
20201029,29105
20201030,28978
20201102,28591
20201103,29227
20201104,29599
20201105,29981
20201106,30419
20201109,30720
20201110,30569
20201111,30861
20201112,31012
20201113,31168
20201116,31869
20201117,32128
20201118,31968
20201119,31846
20201120,32081
20201123,32439
20201124,32957
20201125,33179
20201126,32821
20201127,33160
20201130,33051
20201201,33061
20201202,33668
20201204,34540
20201207,34846
20201208,34700
20201209,34624
20201210,34667
20201211,35072
20201214,35157
20201215,34700
20201216,35142
20201217,34978
20201218,35076
20201221,34686
20201222,34832
20201223,34700
20201224,35321
20201228,36070
20201229,36409
20201230,36400
20210105,38128
20210106,38985
20210107,38915
20210108,40012
20210111,42117
20210112,40648
20210113,41015
20210114,41076
20210115,41161
20210118,39814
20210119,39461
20210120,40554
20210121,40770
20210122,40940
20210125,40977
20210126,41359
20210127,40742
20210128,39498
20210129,39823
20210201,38838
20210202,40012
20210203,40893
20210204,40384
20210205,40412
20210208,40507
20210209,40408
20210210,40016
20210215,40936
20210216,41351
20210217,40615
20210218,40511
20210219,40172
20210222,40497
20210223,39460
20210224,39611
20210225,39762
20210226,39342
20210302,40375
20210303,39799
20210304,39828
20210305,39073
20210308,39535
20210309,38833
20210310,39219
20210311,38984
20210312,39776
20210315,39814
20210316,39752
20210317,39686
20210318,40172
20210319,39483
20210322,39417
20210323,39667
20210324,38852
20210325,38927
20210326,39290
20210329,39413
20210330,39766
20210331,40144
20210401,40120
20210402,40700
20210405,40521
20210406,40893
20210407,40799
20210408,40658
20210409,40813
20210412,40714
20210413,40856
20210414,41129
20210415,41365
20210416,41412
20210419,41431
20210420,41341
20210421,41171
20210422,40973
20210423,40643
20210426,41058
20210427,41266
20210428,41204
20210429,40998
20210430,40816
20210503,40548
20210504,40284
20210506,40591
20210507,40907
20210510,41266
20210511,41314
20210512,40941
20210513,40160
20210514,40093
20210517,40174
20210518,40390
20210520,40505
20210521,40763
20210524,40352
20210525,40457
20210526,40821
20210527,40524
20210528,40687
20210531,40739
20210601,41242
20210602,41367
20210603,41467
20210604,41257
20210607,41486
20210608,41424
20210609,41357
20210610,41017
20210611,41300
20210614,41362
20210615,41458
20210616,41606
20210617,41362
20210618,41688
20210621,41170
20210622,41453
20210623,41592
20210624,41879
20210625,42123
20210628,42162
20210629,41951
20210630,42095
20210701,41903
20210702,41874
20210705,41994
20210706,42147
20210707,41841
20210708,41961
20210709,41017
20210712,41362
20210713,41668
20210714,41472
20210715,41611
20210716,41635
20210719,41261
20210720,41070
20210721,41161
20210722,41242
20210723,41419
20210726,41352
20210727,41352
20210728,41041
20210729,41367
20210730,41031
20210802,40849
20210803,41180
20210804,41453
20210805,41986
20210806,41851
20210809,41281
20210810,41276
20210811,41089
20210812,40768
20210813,40283
20210817,39876
20210818,39391
20210819,39497
20210820,39008
20210823,38735
20210824,39363
20210825,39722
20210826,39746
20210827,39200
20210830,39607
20210831,39449
20210901,40226
20210902,40202
20210903,40173
20210906,40197
20210907,40187
20210908,39852
20210909,39655
20210910,39123
20210913,39190
20210914,39631
20210915,39535
20210916,39487
20210917,39061
20210923,39152
20210924,39535
20210927,39358
20210928,39286
20210929,38480
20210930,38370
20211001,38293
20211005,37588
20211006,37541
20211007,37090
20211008,37214
20211012,36692
20211013,36874
20211014,37334
20211015,37799
20211018,37459
20211019,37919
20211020,38145
20211021,37900
20211022,37775
20211025,37651
20211026,38150
20211027,38092
20211028,38025
20211029,37842
20211101,37564
20211102,38097
20211103,37737
20211104,37934
20211105,37621
20211108,37184
20211109,37559
20211110,37352
20211111,36924
20211112,37391
20211115,37823
20211116,37756
20211117,37664
20211119,37362
20211122,38020
20211123,38203
20211124,38135
20211125,37756
20211126,37434
20211129,36867
20211130,36968
20211201,36199
20211202,36977
20211203,37285
20211206,37328
20211207,37712
20211208,38453
20211209,38308
20211210,38126
20211213,38544
20211214,37986
20211215,37948
20211216,38116
20211217,38121
20211220,37929
20211221,37751
20211222,38135
20211223,38111
20211224,38650
20211227,38520
20211228,38284
20211229,38784
20211230,38510
20220104,38380
20220105,38015
20220106,37780
