date,open,high,low,close,volume
20190909,9012,9061,8901,8925,3664362
20190910,8940,8974,8804,8838,4203279
20190911,8877,9027,8862,8993,5776252
20190916,9037,9197,8954,9172,7896615
20190917,9153,9332,9114,9226,6017249
20190918,9255,9308,9172,9197,5348401
20190919,9211,9322,9114,9192,4251617
20190920,9192,9255,9153,9216,4076269
20190923,9197,9216,9109,9138,2402022
20190924,8959,9041,8794,8819,5259982
20190925,8794,8901,8630,8693,7154264
20190926,8794,8911,8683,8809,6917228
20190927,8804,8809,8683,8760,3844668
20190930,8804,8819,8625,8731,4779840
20191001,8760,9022,8760,8993,2589512
20191002,8896,8993,8857,8857,4914299
20191004,8823,8978,8756,8882,4234291
20191007,8969,9264,8969,9206,7009715
20191008,9230,9327,9109,9313,8548465
20191010,9216,9298,9153,9279,7376582
20191011,9342,9361,9206,9211,5356698
20191014,9366,9473,9298,9395,5692337
20191015,9371,9545,9366,9497,5917815
20191016,9565,9604,9521,9579,8450984
20191017,9570,9608,9410,9468,4314787
20191018,9497,9507,9356,9385,3618994
20191021,9405,9589,9381,9589,5199342
20191022,9686,9977,9642,9826,11337832
20191023,9822,10137,9822,10137,9122870
20191024,10146,10170,9744,10030,10144378
20191025,9986,10001,9763,9763,6707101
20191028,9802,9875,9705,9739,5526951
20191029,9826,9933,9739,9885,8221239
20191030,9918,9962,9846,9865,4673811
20191031,9952,10025,9855,9885,4547922
20191101,9899,10001,9836,9962,5764259
20191104,10054,10137,10015,10078,5607783
20191105,10083,10190,10025,10190,3968404
20191106,10185,10195,10025,10025,4997504
20191107,10015,10049,9899,9967,7224644
20191108,10030,10064,9889,9962,3823594
20191111,9986,9986,9812,9817,2651844
20191112,9865,9952,9822,9943,3189228
20191113,9933,9933,9773,9792,3261858
20191114,9812,9894,9768,9836,3151980
20191115,9831,10006,9773,9996,3121976
20191118,10006,10044,9909,9977,4466555
20191119,9962,9962,9768,9768,3571528
20191120,9744,9802,9526,9526,6729385
20191121,9531,9555,9289,9342,9050800
20191122,9347,9434,9235,9318,7564588
20191125,9390,9570,9390,9555,4891878
20191126,9642,9696,9574,9584,4939278
20191127,9637,9657,9502,9560,3705895
20191128,9521,9555,9371,9371,4524541
20191129,9381,9448,9197,9226,6077043
20191202,9293,9395,9255,9318,5178421
20191203,9211,9264,9153,9197,3372907
20191204,9114,9201,9090,9153,3100159
20191205,9211,9245,8978,9071,6563633
20191206,9075,9230,9075,9221,7710605
20191209,9264,9269,9153,9206,3578362
20191210,9177,9201,9119,9172,4440105
20191211,9163,9230,9129,9158,1780181
20191212,9206,9424,9177,9342,3179241
20191213,9473,9541,9385,9419,8317804
20191216,9429,9468,9376,9395,4934452
20191217,9448,9550,9424,9541,3698323
20191218,9545,9560,9468,9492,2932942
20191219,9507,9613,9429,9526,4825230
20191220,9565,9604,9516,9570,4231690
20191223,9594,9696,9584,9657,2927530
20191224,9662,9662,9487,9497,4467827
20191226,9526,9768,9473,9759,6222466
20191227,9763,9981,9759,9933,7401240
20191230,9952,10107,9914,10093,8269314
20200102,10122,10137,9948,10098,6409888
