,date,y_change
768,20211122,279
769,20211123,-144
770,20211124,125
771,20211125,-173
772,20211126,58
773,20211129,173
774,20211130,9
775,20211201,97
776,20211202,192
777,20211203,-120
778,20211206,-269
779,20211207,-221
780,20211208,110
781,20211209,73
782,20211210,-33
783,20211213,144
784,20211214,0
785,20211215,72
786,20211216,53
787,20211217,130
788,20211220,-169
789,20211221,130
790,20211222,96
791,20211223,-168
792,20211224,245
793,20211227,-101
794,20211228,-211
795,20211229,67
796,20211230,-72
797,20220104,-173
798,20220105,-39
799,20220106,163
800,20220107,120
801,20220110,-297
802,20220111,168
803,20220112,153
804,20220113,-43
805,20220114,-67
806,20220117,-72
807,20220118,-187
808,20220119,53
809,20220120,39
810,20220121,-24
811,20220124,5
812,20220125,-197
813,20220126,139
814,20220127,-342
815,20220128,135
816,20220203,-39
817,20220204,236
818,20220207,-395
819,20220208,102
820,20220209,77
821,20220210,24
822,20220211,-77
823,20220214,-19
824,20220215,-101
825,20220216,77
826,20220217,29
827,20220218,29
828,20220221,-211
829,20220222,-101
830,20220223,-72
831,20220224,5
832,20220225,9
833,20220228,14
834,20220302,-101
835,20220303,82
836,20220304,-207
837,20220307,-144
838,20220308,5
839,20220310,25
840,20220311,72
841,20220314,63
842,20220315,-33
843,20220316,-106
844,20220317,116
845,20220318,82
846,20220321,-255
847,20220322,91
848,20220323,202
849,20220324,-19
850,20220325,-251
851,20220328,-116
852,20220329,34
853,20220330,92
854,20220331,125
855,20220401,-202
856,20220404,-101
857,20220405,-145
858,20220406,10
859,20220407,-67
860,20220408,24
861,20220411,29
862,20220412,92
863,20220413,48
864,20220414,-120
865,20220415,-207
866,20220418,63
867,20220419,260
868,20220420,-193
869,20220421,115
870,20220422,-110
871,20220425,-10
872,20220426,-34
873,20220427,-164
874,20220428,-127
875,20220429,264
876,20220502,132
877,20220503,0
878,20220504,68
879,20220506,-176
880,20220509,122
881,20220510,-249
882,20220511,68
883,20220512,-44
884,20220513,83
885,20220516,-88
886,20220517,171
887,20220518,142
888,20220519,112
889,20220520,161
890,20220523,-49
891,20220524,49
892,20220525,-146
893,20220526,244
894,20220527,54
895,20220530,-88
896,20220531,4
897,20220602,-103
898,20220603,-20
899,20220607,-200
900,20220608,83
901,20220609,-30
902,20220610,-20
903,20220613,-44
904,20220614,317
905,20220615,-142
906,20220616,98
907,20220617,83
908,20220620,-523
909,20220621,-107
910,20220622,-254
911,20220623,127
912,20220624,14
913,20220627,-230
914,20220628,19
915,20220629,15
916,20220630,-156
917,20220701,10
918,20220704,137
919,20220705,-34
920,20220706,-146
921,20220707,92
922,20220708,14
923,20220711,30
924,20220712,-112
925,20220713,69
926,20220714,78
927,20220715,-278
928,20220718,20
929,20220719,-102
930,20220720,-29
931,20220721,69
932,20220722,73
933,20220725,288
934,20220726,-35
935,20220727,-44
936,20220728,-78
937,20220729,10
938,20220801,-98
939,20220802,-79
940,20220803,0
