,date,y_minmax_0915
882,20220511,166
883,20220512,147
884,20220513,180
885,20220516,156
886,20220517,176
887,20220518,176
888,20220519,230
889,20220520,205
890,20220523,239
891,20220524,151
892,20220525,220
893,20220526,274
894,20220527,175
895,20220530,205
896,20220531,137
897,20220602,176
898,20220603,73
899,20220607,230
900,20220608,88
901,20220609,122
902,20220610,141
903,20220613,166
904,20220614,351
905,20220615,224
906,20220616,127
907,20220617,214
908,20220620,732
909,20220621,1026
910,20220622,268
911,20220623,283
912,20220624,186
913,20220627,244
914,20220628,205
915,20220629,137
916,20220630,210
917,20220701,191
918,20220704,376
919,20220705,190
920,20220706,181
921,20220707,161
922,20220708,156
923,20220711,219
924,20220712,215
925,20220713,137
926,20220714,166
927,20220715,303
928,20220718,186
929,20220719,185
930,20220720,88
931,20220721,132
932,20220722,147
933,20220725,337
934,20220726,122
935,20220727,132
936,20220728,206
937,20220729,107
938,20220801,147
939,20220802,137
940,20220803,122
941,20220804,147
942,20220805,123
943,20220808,108
944,20220809,112
945,20220810,152
946,20220811,78
947,20220812,206
948,20220816,152
949,20220817,108
950,20220818,171
951,20220819,230
952,20220822,142
953,20220823,147
954,20220824,88
955,20220825,93
956,20220826,98
957,20220829,162
958,20220830,112
959,20220831,74
960,20220901,147
961,20220902,142
962,20220905,260
963,20220906,142
964,20220907,88
965,20220908,132
966,20220913,176
967,20220914,118
968,20220915,112
969,20220916,98
970,20220919,181
971,20220920,127
972,20220921,117
973,20220922,78
974,20220923,161
975,20220926,112
976,20220927,166
977,20220928,142
978,20220929,103
979,20220930,196
980,20221004,147
981,20221005,196
982,20221006,166
983,20221007,112
984,20221011,215
985,20221012,113
986,20221013,98
987,20221014,142
988,20221017,142
989,20221018,112
990,20221019,83
991,20221020,123
992,20221021,141
993,20221024,103
994,20221025,176
995,20221026,117
996,20221027,108
997,20221028,133
998,20221031,137
999,20221101,138
1000,20221102,73
1001,20221103,157
1002,20221104,182
1003,20221107,231
1004,20221108,93
1005,20221109,98
1006,20221110,113
1007,20221111,177
1008,20221114,118
1009,20221115,103
1010,20221116,172
1011,20221118,187
1012,20221121,206
1013,20221122,177
1014,20221123,89
1015,20221124,64
1016,20221125,152
1017,20221128,270
1018,20221129,123
1019,20221130,108
1020,20221201,123
1021,20221202,260
1022,20221205,280
1023,20221206,137
1024,20221207,142
1025,20221208,94
1026,20221209,113
1027,20221212,132
1028,20221213,113
1029,20221214,186
1030,20221215,79
1031,20221216,167
1032,20221219,128
1033,20221220,138
1034,20221221,132
1035,20221222,88
1036,20221223,138
1037,20221226,84
1038,20221227,152
1039,20221228,191
1040,20221229,88
1041,20230103,334
1042,20230104,123
1043,20230105,138
1044,20230106,334
1045,20230109,207
1046,20230110,128
1047,20230111,118
1048,20230112,206
1049,20230113,177
1050,20230116,113
1051,20230117,212
1052,20230118,280
1053,20230119,138
1054,20230120,221
1055,20230125,59
1056,20230126,113
1057,20230127,187
1058,20230130,197
1059,20230131,270
1060,20230201,118
1061,20230202,207
1062,20230203,173
1063,20230206,207
1064,20230207,182
1065,20230208,138
1066,20230209,98
1067,20230210,187
1068,20230213,202
1069,20230214,202
1070,20230215,305
1071,20230216,157
1072,20230217,256
1073,20230220,231
1074,20230221,201
1075,20230222,217
1076,20230223,172
1077,20230224,192
1078,20230227,173
1079,20230228,123
1080,20230302,286
1081,20230303,183
1082,20230306,138
1083,20230307,73
1084,20230308,93
1085,20230309,74
1086,20230310,133
1087,20230313,162
1088,20230314,182
1089,20230315,109
1090,20230316,133
1091,20230317,104
1092,20230320,148
1093,20230321,128
1094,20230322,79
1095,20230323,88
1096,20230324,89
1097,20230327,212
1098,20230328,133
1099,20230329,123
1100,20230330,128
1101,20230331,93
1102,20230403,231
1103,20230404,187
1104,20230405,197
1105,20230406,172
1106,20230407,123
1107,20230410,334
1108,20230411,123
1109,20230412,187
1110,20230413,192
1111,20230414,172
1112,20230417,128
1113,20230418,142
1114,20230419,173
1115,20230420,118
1116,20230421,127
1117,20230424,89
1118,20230425,104
1119,20230426,118
1120,20230427,225
1121,20230428,160
1122,20230502,265
1123,20230503,110
1124,20230504,99
1125,20230508,100
1126,20230509,135
1127,20230510,140
1128,20230511,60
1129,20230512,100
1130,20230515,125
1131,20230516,115
1132,20230517,99
1133,20230518,105
1134,20230519,75
1135,20230522,204
1136,20230523,100
1137,20230524,115
1138,20230525,120
1139,20230526,120
1140,20230530,85
1141,20230531,95
1142,20230601,119
1143,20230602,85
1144,20230605,105
1145,20230607,95
1146,20230608,85
1147,20230609,119
1148,20230612,85
1149,20230613,70
1150,20230614,195
1151,20230615,105
1152,20230616,189
1153,20230619,114
1154,20230620,115
1155,20230621,105
1156,20230622,129
1157,20230623,100
1158,20230626,90
1159,20230627,139
1160,20230628,130
1161,20230629,160
1162,20230630,310
1163,20230703,190
1164,20230704,134
1165,20230705,184
1166,20230706,224
1167,20230707,194
1168,20230710,195
1169,20230711,154
1170,20230712,110
1171,20230713,75
1172,20230714,150
1173,20230717,90
1174,20230718,175
1175,20230719,200
1176,20230720,110
1177,20230721,165
1178,20230724,150
1179,20230725,180
1180,20230726,185
1181,20230727,125
1182,20230728,175
1183,20230731,115
1184,20230801,220
1185,20230802,115
1186,20230803,210
1187,20230804,165
1188,20230807,215
1189,20230808,150
1190,20230809,185
1191,20230810,75
1192,20230811,175
1193,20230814,125
1194,20230816,100
1195,20230817,150
1196,20230818,210
1197,20230821,80
1198,20230822,155
1199,20230823,115
1200,20230824,125
1201,20230825,125
1202,20230828,155
1203,20230829,120
1204,20230830,70
1205,20230831,80
1206,20230901,180
1207,20230904,75
1208,20230905,155
1209,20230906,55
1210,20230907,100
1211,20230908,90
1212,20230911,170
1213,20230912,120
1214,20230913,180
1215,20230914,60
1216,20230915,145
1217,20230918,165
1218,20230919,115
1219,20230920,100
1220,20230921,85
1221,20230922,100
1222,20230925,110
1223,20230926,180
1224,20230927,225
1225,20231004,320
1226,20231005,130
1227,20231006,140
1228,20231010,150
1229,20231011,175
1230,20231012,160
1231,20231013,190
1232,20231016,160
1233,20231017,140
1234,20231018,105
1235,20231019,145
1236,20231020,190
1237,20231023,150
1238,20231024,140
1239,20231025,115
1240,20231026,115
